tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Paratore, Renato",16549,T7,3,glendower gc,3634,72,1,11:07am,69,,,,,,1.613,,,,,,,,,0,5,11,2,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Pavon, Matthieu",19960,T34,3,glendower gc,3634,72,1,11:16am,68,,,,,,2.613,,,,,,,,,0,5,12,1,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Pavon, Matthieu",19960,T34,4,glendower gc,3634,72,1,11:16am,74,,,,,,-3.427,,,,,,,,,0,5,7,5,1
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Walters, Justin",8045,T38,1,glendower gc,3634,72,10,6:40am,69,,,,,,3.523,,,,,,,,,1,6,7,3,1
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Walters, Justin",8045,T38,2,glendower gc,3634,72,1,11:45am,69,,,,,,3.396,,,,,,,,,0,5,11,2,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Walters, Justin",8045,T38,3,glendower gc,3634,72,1,9:00am,73,,,,,,-2.387,,,,,,,,,0,6,6,5,1
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Walters, Justin",8045,T38,4,glendower gc,3634,72,1,9:00am,71,,,,,,-0.427,,,,,,,,,1,4,9,3,1
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Fisher, Oliver",10863,T38,1,glendower gc,3634,72,10,8:10am,69,,,,,,3.523,,,,,,,,,1,3,12,2,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Fisher, Oliver",10863,T38,2,glendower gc,3634,72,1,10:00am,72,,,,,,0.396,,,,,,,,,1,3,10,3,1
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Fisher, Oliver",10863,T38,3,glendower gc,3634,72,1,8:51am,71,,,,,,-0.387,,,,,,,,,1,4,8,5,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Fisher, Oliver",10863,T38,4,glendower gc,3634,72,1,8:51am,70,,,,,,0.573,,,,,,,,,0,4,12,2,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Ferreira, Tyrone",12823,T38,1,glendower gc,3634,72,1,8:10am,68,,,,,,4.523,,,,,,,,,1,3,13,1,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Pavon, Matthieu",19960,T34,2,glendower gc,3634,72,1,11:03am,67,,,,,,5.396,,,,,,,,,0,5,13,0,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Ferreira, Tyrone",12823,T38,2,glendower gc,3634,72,1,8:52am,74,,,,,,-1.604,,,,,,,,,0,0,16,2,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Ferreira, Tyrone",12823,T38,4,glendower gc,3634,72,1,9:18am,71,,,,,,-0.427,,,,,,,,,0,3,13,2,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Dantorp, Jens",14018,T38,1,glendower gc,3634,72,10,1:10pm,72,,,,,,0.523,,,,,,,,,0,5,9,3,1
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Dantorp, Jens",14018,T38,2,glendower gc,3634,72,1,6:30am,72,,,,,,0.396,,,,,,,,,0,2,14,2,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Dantorp, Jens",14018,T38,3,glendower gc,3634,72,1,7:16am,72,,,,,,-1.387,,,,,,,,,0,4,11,2,1
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Dantorp, Jens",14018,T38,4,glendower gc,3634,72,1,7:16am,66,,,,,,4.573,,,,,,,,,1,7,7,3,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Wallace, Matt",20706,T38,1,glendower gc,3634,72,1,11:40am,68,,,,,,4.523,,,,,,,,,0,8,7,2,1
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Wallace, Matt",20706,T38,2,glendower gc,3634,72,1,8:43am,74,,,,,,-1.604,,,,,,,,,1,2,9,6,0
euro,2018,2018,2018-01-14,BMW SA Open hosted by the City of Ekurhuleni,2018004,"Wallace, Matt",20706,T38,3,glendower gc,3634,72,1,9:27am,69,,,,,,1.613,,,,,,,,,0,5,11,2,0
