tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,21554,49771,"Poston, J.T.",0,39,USA,44,63,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,27900,63343,"Potgieter, Aldrich",0,34,RSA,252,95,T134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,18554,46414,"Rai, Aaron",0,25,ENG,66,30,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,16283,36699,"Rodgers, Patrick",0,73,USA,75,88,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,6093,22405,"Rose, Justin",0,114,ENG,28,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,19895,48081,"Schauffele, Xander",0,196,USA,8,13,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,18417,46046,"Scheffler, Scottie",0,475,USA,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,20722,48867,"Schmid, Matti",0,11,GER,179,99,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,6430,24502,"Scott, Adam",0,123,AUS,48,71,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,17536,39324,"Spaun, J.J.",0,82,USA,15,8,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,14636,34046,"Spieth, Jordan",0,140,USA,50,82,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,25569,55893,"Stevens, Sam",0,42,USA,60,41,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,17511,49960,"Straka, Sepp",0,170,AUT,22,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,13126,25493,"Taylor, Nick",0,43,CAN,37,56,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,23014,51634,"Theegala, Sahith",0,168,USA,74,94,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,23816,52666,"Valimaki, Sami",0,36,FIN,63,47,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,13508,27064,"Vegas, Jhonattan",0,19,VEN,273,100,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,26651,57366,"Young, Cameron",0,233,USA,18,22,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,17881,45242,"Yu, Kevin",0,24,TPE,111,104,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
