year,event_id,event_start_date,event_name,dg_id,player_name,p_win_raw,p_win_share,close_odds,p_odds_share,sg_total_L40,sg_total_L24,sg_total_L12,days_since_last_round,finish_num,pred_rank
2026,4,2026-01-29,Farmers Insurance Open,24342,"Higgo, Garrick",0.12504266986004842,0.08500283808320738,58.0,0.012366521137474959,1.028,2.078625,3.1207499999999997,80,,1
2026,4,2026-01-29,Farmers Insurance Open,14609,"Kim, Si Woo",0.05252898463680607,0.035708712719867586,27.0,0.02656511948050176,1.2322499999999998,1.755708333333333,2.0058333333333334,3,,2
2026,4,2026-01-29,Farmers Insurance Open,26651,"Young, Cameron",0.04513801851461808,0.03068440304009206,19.5,0.0367824731268486,1.591925,2.0639166666666666,1.3457499999999998,52,,3
2026,4,2026-01-29,Farmers Insurance Open,28635,"McCarty, Matt",0.04080171475715984,0.027736624281150226,68.0,0.010547915087846289,1.2477,1.6349999999999998,1.7245833333333334,3,,4
2026,4,2026-01-29,Farmers Insurance Open,13412,"Olesen, Thorbjorn",0.034470516887033224,0.023432735152507534,66.0,0.010867548878387085,1.6103,1.6656250000000001,1.3135833333333335,3,,5
2026,4,2026-01-29,Farmers Insurance Open,13562,"Matsuyama, Hideki",0.03301181636167718,0.022441124171172066,31.0,0.023137362128178955,0.989875,0.9127083333333333,1.9074166666666665,10,,6
2026,4,2026-01-29,Farmers Insurance Open,16283,"Rodgers, Patrick",0.03237724346191978,0.02200974744584749,57.0,0.01258347764865873,0.552,1.4799166666666668,1.7615,3,,7
2026,4,2026-01-29,Farmers Insurance Open,17536,"Spaun, J.J.",0.03130577801091818,0.02128137524821946,29.0,0.024733042274949917,1.30995,1.124875,1.5700000000000003,10,,8
2026,4,2026-01-29,Farmers Insurance Open,22465,"Penge, Marco",0.030600479402894905,0.020801919847553314,63.0,0.011385051205929328,1.791975,1.3556666666666664,1.156166666666667,59,,9
2026,4,2026-01-29,Farmers Insurance Open,19895,"Schauffele, Xander",0.029994064302359243,0.0203896845309231,15.8,0.04539609025149035,1.292,1.2087916666666667,1.3649999999999995,108,,10
2026,4,2026-01-29,Farmers Insurance Open,23505,"McGreevy, Max",0.02815839110547785,0.019141811051391396,121.0,0.005927753933665683,1.0531,1.3956666666666664,1.4263333333333337,3,,11
2026,4,2026-01-29,Farmers Insurance Open,29767,"Gerard, Ryan",0.024685036674766042,0.016780657177998943,44.0,0.016301323317580628,0.473325,1.109875,1.6234166666666667,3,,12
2026,4,2026-01-29,Farmers Insurance Open,9771,"Day, Jason",0.024572626776530763,0.01670424197997624,34.0,0.021095830175692578,0.8459749999999999,0.9475833333333333,1.5592500000000002,3,,13
2026,4,2026-01-29,Farmers Insurance Open,6430,"Scott, Adam",0.02423376061797133,0.01647388393307797,45.0,0.015939071688301058,0.8422499999999999,1.1356666666666666,1.4324166666666667,3,,14
2026,4,2026-01-29,Farmers Insurance Open,23816,"Valimaki, Sami",0.024101835557156254,0.016384202509959506,181.0,0.003962752629688108,1.09595,0.78275,1.561416666666667,4,,15
2026,4,2026-01-29,Farmers Insurance Open,10419,"Noren, Alex",0.023822946194065588,0.016194616127963204,55.0,0.013041058654064502,1.6533000000000002,1.1399583333333334,1.0734166666666667,4,,16
2026,4,2026-01-29,Farmers Insurance Open,15466,"Cantlay, Patrick",0.023742190582047556,0.01613971921780956,24.5,0.029275845958103983,0.94575,0.9938750000000001,1.4336666666666666,3,,17
2026,4,2026-01-29,Farmers Insurance Open,23838,"Hojgaard, Rasmus",0.022856459481707295,0.015537607495533068,46.0,0.01559257012985973,1.6323999999999999,1.3110416666666667,0.9221666666666667,3,,18
2026,4,2026-01-29,Farmers Insurance Open,17538,"Homa, Max",0.01932732821225842,0.013138537048564042,52.0,0.013793427422568224,0.7817000000000001,0.9262083333333334,1.2651666666666659,3,,19
2026,4,2026-01-29,Farmers Insurance Open,28309,"Coody, Pierceson",0.01923976300459747,0.013079011038947829,61.0,0.011758331573336847,0.8121,1.2716666666666667,1.0389166666666667,3,,20
2026,4,2026-01-29,Farmers Insurance Open,15310,"Li, Haotong",0.017923492935374895,0.012184222950264776,99.0,0.007245032585591391,0.7966749999999998,0.8531249999999999,1.21125,3,,21
2026,4,2026-01-29,Farmers Insurance Open,28159,"Meissner, Mac",0.016929031210887013,0.011508197166096848,101.0,0.007101566593797502,1.14265,1.0372916666666665,0.8779166666666667,3,,22
2026,4,2026-01-29,Farmers Insurance Open,22985,"Smotherman, Austin",0.016484622232665672,0.011206092096997217,226.0,0.0031737089644847238,0.753325,0.7620416666666666,1.1844166666666667,3,,23
2026,4,2026-01-29,Farmers Insurance Open,18103,"Bezuidenhout, Christiaan",0.01609234832958985,0.010939427964627508,93.0,0.0077124540427263195,0.9342750000000001,0.8390833333333333,1.0095000000000003,3,,24
2026,4,2026-01-29,Farmers Insurance Open,26649,"Thorbjornsen, Michael",0.016089480999577542,0.010937478780488683,44.0,0.016301323317580628,1.079075,1.1687500000000002,0.7235833333333334,4,,25
2026,4,2026-01-29,Farmers Insurance Open,25569,"Stevens, Sam",0.015793403359370385,0.010736207968383062,51.0,0.01406388678379505,0.15597499999999995,0.2187083333333335,1.66325,3,,26
2026,4,2026-01-29,Farmers Insurance Open,14704,"Putnam, Andrew",0.015356072969594597,0.010438914857538709,331.0,0.002166943280886851,0.27662500000000007,0.24954166666666674,1.5986666666666665,3,,27
2026,4,2026-01-29,Farmers Insurance Open,10104,"Power, Seamus",0.015304483364236872,0.010403844726071526,171.0,0.0041944925495529094,0.5957,0.9662916666666669,1.0114999999999996,3,,28
2026,4,2026-01-29,Farmers Insurance Open,21688,"Kim, S.H.",0.015147163308413638,0.010296900022736652,151.0,0.004750054476646011,0.0962000000000001,0.5035833333333334,1.479,3,,29
2026,4,2026-01-29,Farmers Insurance Open,23950,"Aberg, Ludvig",0.015028312191276077,0.010216106144316112,18.5,0.03877071491748906,1.13175,1.057,0.6466666666666665,5,,30
2026,4,2026-01-29,Farmers Insurance Open,27819,"Castillo, Ricky",0.01495458799361521,0.010165989123913437,126.0,0.005692525602964664,0.88555,0.6379166666666668,1.0550833333333334,3,,31
2026,4,2026-01-29,Farmers Insurance Open,23504,"Hoey, Rico",0.014226345648492622,0.009670936785243174,75.0,0.009563443012980635,0.8223749999999999,1.2743750000000003,0.588166666666667,6,,32
2026,4,2026-01-29,Farmers Insurance Open,25002,"Wu, Dylan",0.013653372040651628,0.009281434682738721,281.0,0.0025525203771300624,0.1288249999999999,0.5691249999999999,1.29275,3,,33
2026,4,2026-01-29,Farmers Insurance Open,14577,"English, Harris",0.013238347129004967,0.008999304627416941,33.0,0.02173509775677417,1.076725,0.7060416666666667,0.7323333333333332,3,,34
2026,4,2026-01-29,Farmers Insurance Open,29925,"Yellamaraju, Sudarshan",0.013155974890077736,0.008943308749402504,481.0,0.0014911813429803486,0.9336190476190476,0.9336190476190476,0.6956666666666665,4,,35
2026,4,2026-01-29,Farmers Insurance Open,23014,"Theegala, Sahith",0.013073442135259667,0.008887203754185963,81.0,0.008855039826833921,-0.0051500000000000105,0.8223750000000001,1.1021666666666667,3,,36
2026,4,2026-01-29,Farmers Insurance Open,17780,"Pendrith, Taylor",0.012268659771103875,0.008340120226066157,37.0,0.01938535745874453,0.82385,0.6358333333333334,0.7643333333333335,4,,37
2026,4,2026-01-29,Farmers Insurance Open,25157,"Hodges, Lee",0.01224629987962095,0.008324920180854322,161.0,0.00445502003710278,0.198575,0.7316666666666666,0.9901666666666668,4,,38
2026,4,2026-01-29,Farmers Insurance Open,23465,"Greyserman, Max",0.011985754865879487,0.008147804116064278,68.0,0.010547915087846289,0.6518250000000001,0.19791666666666666,1.091,3,,39
2026,4,2026-01-29,Farmers Insurance Open,21883,"Ewart, A.J.",0.011865725495449021,0.008066209272069427,951.0,0.0007542147486577788,0.6277857142857143,0.6277857142857143,0.8841666666666667,3,,40
2026,4,2026-01-29,Farmers Insurance Open,18634,"McNealy, Maverick",0.011555561758519814,0.007855362863087722,33.0,0.02173509775677417,0.9065749999999999,0.6805,0.5870000000000001,10,,41
2026,4,2026-01-29,Farmers Insurance Open,15651,"Ventura, Kris",0.011232156753481786,0.0076355151638238285,166.0,0.004320832686587637,0.66635,0.8330416666666668,0.6173333333333334,4,,42
2026,4,2026-01-29,Farmers Insurance Open,27364,"Thompson, Davis",0.00998119690783823,0.006785124354615685,64.0,0.011207159780836681,0.6784749999999999,0.6200833333333333,0.5539166666666668,4,,43
