year,event_id,event_start_date,event_name,dg_id,player_name,p_win_raw,p_win_share,close_odds,p_odds_share,sg_total_L40,sg_total_L24,sg_total_L12,days_since_last_round,finish_num,pred_rank,p_win_pct,p_odds_pct
2026,4,2026-01-29,Farmers Insurance Open,24342,"Higgo, Garrick",0.12504266986004842,0.08500283808320738,58.0,0.012366521137474959,1.028,2.078625,3.1207499999999997,80,,1,8.5,1.24
2026,4,2026-01-29,Farmers Insurance Open,14609,"Kim, Si Woo",0.05252898463680607,0.035708712719867586,27.0,0.02656511948050176,1.2322499999999998,1.755708333333333,2.0058333333333334,3,,2,3.57,2.66
2026,4,2026-01-29,Farmers Insurance Open,26651,"Young, Cameron",0.04513801851461808,0.03068440304009206,19.5,0.0367824731268486,1.591925,2.0639166666666666,1.3457499999999998,52,,3,3.07,3.68
2026,4,2026-01-29,Farmers Insurance Open,28635,"McCarty, Matt",0.04080171475715984,0.027736624281150226,68.0,0.010547915087846289,1.2477,1.6349999999999998,1.7245833333333334,3,,4,2.77,1.05
2026,4,2026-01-29,Farmers Insurance Open,13412,"Olesen, Thorbjorn",0.034470516887033224,0.023432735152507534,66.0,0.010867548878387085,1.6103,1.6656250000000001,1.3135833333333335,3,,5,2.34,1.09
2026,4,2026-01-29,Farmers Insurance Open,13562,"Matsuyama, Hideki",0.03301181636167718,0.022441124171172066,31.0,0.023137362128178955,0.989875,0.9127083333333333,1.9074166666666665,10,,6,2.24,2.31
2026,4,2026-01-29,Farmers Insurance Open,16283,"Rodgers, Patrick",0.03237724346191978,0.02200974744584749,57.0,0.01258347764865873,0.552,1.4799166666666668,1.7615,3,,7,2.2,1.26
2026,4,2026-01-29,Farmers Insurance Open,17536,"Spaun, J.J.",0.03130577801091818,0.02128137524821946,29.0,0.024733042274949917,1.30995,1.124875,1.5700000000000003,10,,8,2.13,2.47
2026,4,2026-01-29,Farmers Insurance Open,22465,"Penge, Marco",0.030600479402894905,0.020801919847553314,63.0,0.011385051205929328,1.791975,1.3556666666666664,1.156166666666667,59,,9,2.08,1.14
2026,4,2026-01-29,Farmers Insurance Open,19895,"Schauffele, Xander",0.029994064302359243,0.0203896845309231,15.8,0.04539609025149035,1.292,1.2087916666666667,1.3649999999999995,108,,10,2.04,4.54
