dg_id,is_liv,notes,tag_event_1,tag_event_2,tag_event_3,tag_event_4,sg_total_L40,sg_app_L40,sg_arg_L40,sg_putt_L40,driving_dist_L40,driving_acc_L40,round_score_L40,sg_total_L24,sg_app_L24,sg_arg_L24,sg_putt_L24,driving_dist_L24,driving_acc_L24,round_score_L24,sg_total_L12,sg_app_L12,sg_arg_L12,sg_putt_L12,driving_dist_L12,driving_acc_L12,round_score_L12,n_rounds_used
18417,False,,,,,,2.99405,1.2942250000000002,0.3689,0.624725,301.44750000000005,0.63705,67.525,3.110625,1.3103333333333333,0.15687500000000001,0.8535416666666666,304.14166666666665,0.6713749999999999,66.66666666666667,2.4290833333333333,0.9233333333333333,0.15008333333333335,0.57275,305.0333333333333,0.7416666666666666,66.91666666666667,329.0
19195,True,,,,,,2.2954499999999998,0.922516129032258,0.2639354838709678,0.2328064516129032,313.9994642857143,0.551,68.725,2.296333333333333,1.0833333333333333,0.13300000000000006,0.5105333333333333,317.21683333333334,0.5535833333333334,67.83333333333333,2.49475,2.106333333333333,0.14899999999999994,0.26100000000000007,341.1836666666666,0.6666666666666666,67.08333333333333,295.0
19841,True,,,,,,2.17725,0.25579487179487176,0.011000000000000053,0.27715384615384614,326.62744444444445,0.6032222222222222,69.05,1.3787916666666666,0.2753478260869565,-0.4712608695652175,0.1364782608695652,321.3823,0.5714,69.375,1.8374166666666667,0.51,-0.4520909090909091,0.41209090909090906,317.137125,0.6696250000000001,67.5,200.0
10091,False,,,,,,2.120675,0.38885000000000003,0.04069999999999999,0.84795,309.04499999999996,0.4989,67.95,1.9786666666666666,-0.015250000000000041,-0.18675,-1.3427499999999999,309.7,0.6785,68.0,2.2343333333333333,,,,,,67.58333333333333,346.0
12294,False,,,,,,2.1579,0.6584761904761904,0.1352857142857143,0.8487142857142858,292.95714285714286,0.681047619047619,67.725,2.406,0.8122,0.049399999999999986,1.8951999999999998,293.71999999999997,0.7427999999999999,67.33333333333333,3.1510000000000002,,,,,,66.66666666666667,380.0
19895,False,,,,,,1.292,0.4171388888888889,0.07786111111111114,0.04280555555555559,305.0625,0.561025,69.575,1.2087916666666667,0.4058,-0.009950000000000004,-0.16229999999999997,302.77916666666664,0.5898333333333333,68.79166666666667,1.3650000000000002,0.008249999999999974,-0.05312499999999995,-0.400625,303.15000000000003,0.6298333333333334,68.5,304.0
14578,False,,,,,,1.1943000000000001,0.607925,0.45577499999999993,0.005825000000000036,284.3225,0.696425,69.425,1.6632916666666666,0.5670416666666668,0.39645833333333336,0.230375,286.4916666666667,0.7262083333333335,68.16666666666667,1.3464166666666666,0.7294166666666667,0.21558333333333332,0.03291666666666666,286.65000000000003,0.7738333333333335,68.5,291.0
24968,False,,,,,,1.7716749999999997,0.701625,0.19971875,0.6987500000000001,295.1138888888889,0.619,67.95,2.0175,0.7601249999999999,0.2750625,0.859625,294.93,0.6178000000000001,67.66666666666667,2.9126666666666665,1.6635,0.39975,1.45525,294.2875,0.71425,67.33333333333333,355.0
22085,False,,,,,,0.38755,0.7103055555555556,-0.16794444444444445,-0.7089166666666666,293.46500000000003,0.69305,70.2,-0.1236666666666667,0.4192,-0.3601,-0.7586,295.4291666666666,0.6609999999999999,70.08333333333333,0.6356666666666667,0.16912500000000003,0.007499999999999979,-0.5890000000000001,298.6,0.7031666666666667,69.08333333333333,312.0
23950,False,,,,,,1.25255,0.32142857142857134,-0.04317857142857142,0.28975,302.66785714285714,0.6056071428571429,68.575,1.222875,-0.3259166666666667,0.36633333333333334,0.38858333333333334,302.68333333333334,0.6547499999999999,68.20833333333333,1.40675,,,,,,68.33333333333333,232.0
13562,False,,,,,,1.0612249999999999,0.633,0.43442857142857144,0.00785714285714288,295.72187499999995,0.6496875,68.75,0.6559166666666667,-0.3113333333333333,0.7070833333333333,-0.56275,298.31875,0.683375,69.16666666666667,1.7664166666666663,0.30699999999999994,1.02075,0.7337499999999999,298.225,0.7774999999999999,68.33333333333333,319.0
14139,False,,,,,,0.510075,-0.07605,0.29714999999999997,0.25727500000000003,299.40500000000003,0.48295000000000005,70.0,0.2632083333333333,-0.14241666666666666,0.4840416666666667,0.03650000000000001,299.175,0.47454166666666664,69.70833333333333,-0.3202500000000001,-0.6604166666666668,0.5304166666666668,-0.20291666666666666,300.30833333333334,0.49991666666666673,70.16666666666667,307.0
15466,False,,,,,,0.8939,0.5405,0.01907500000000002,0.10994999999999996,298.75,0.569625,69.55,0.7606666666666667,0.6679583333333334,-0.04204166666666668,-0.04741666666666668,298.9666666666667,0.571375,69.04166666666667,0.6797500000000002,0.10808333333333346,-0.049333333333333264,0.38749999999999996,300.8833333333334,0.5416666666666666,69.16666666666667,291.0
