. so just Place,Player,Earnings
"129","vjgalati(1)","$3,563,101"
"130","CLUBSWANGERS(1)","$3,556,629"
"131","himile(1)","$3,555,387"
"132","smokedogjr(1)","$3,528,688"
"133","Seanpins(4)","$3,517,474"
"134","dalefm12(1)","$3,502,921"
"135","pdtgolf(1)","$3,476,146"
"136","sp10k(1)","$3,471,753"
"137","CamChamps(1)","$3,470,315"
"138","Party-like-a-Cocksta(1)","$3,454,246"
"139","JCGATX(1)","$3,434,832"
"140","SRUSSO11(2)","$3,429,150"
"141","btfd(1)","$3,387,260"
"142","cristalblanco(2)","$3,337,937"
"143","ryansutter(1)","$3,314,477"
"144","meowmeow14(1)","$3,244,314"
"145","etohacks(1)","$3,241,553"
"146","Disgusting_Brothers(1)","$3,198,347"
"147","hammers_2(1)","$3,181,781"
"148","birdie2double(1)","$3,163,788"
"149","ricktavius(1)","$3,158,842"
"150","bmorebri(1)","$3,132,807"
"151","inone(1)","$3,113,932"
"152","aceinthehole59(1)","$3,107,841"
"153","DDFs(1)","$3,099,509"
"154","cypresspoint(1)","$3,091,911"
"155","ogsandbaggers(1)","$3,087,494"
"156","justinmacmahan(3)","$3,084,880"
"157","southwestswindlers(1)","$3,013,530"
"158","punchoutgamestrong(1)","$2,979,758"
"159","arkadymosports(1)","$2,963,004"
"160","ghinitals(1)","$2,961,142"
"161","chippewa(1)","$2,856,055"
"162","RextheWonderdog(1)","$2,826,078"
"163","ranchdrawexpress(1)","$2,822,227"
"164","teamneverrory(1)","$2,809,713"
"165","aaronlabrie15(1)","$2,792,513"
"166","zimmbroom(1)","$2,788,847"
"167","agrumney(1)","$2,735,737"
"168","treshermanas(1)","$2,730,097"
"169","dechambros(1)","$2,724,438"
"170","evanharris11(1)","$2,721,285"
"171","jdb3(1)","$2,712,307"
"172","dak1616(1)","$2,687,787"
"173","trevoro5(2)","$2,657,618"
"174","saturdaysfortheboys(2)","$2,648,435"
"175","elliottperry(1)","$2,639,562"
"176","mmmm(1)","$2,629,781"
"177","pbcbdb(1)","$2,626,702"
"178","dmicro(1)","$2,608,223"
"204","boykinr(1)","$2,282,463"
"205","alexellis9(1)","$2,277,284"
"206","ConOs(1)","$2,272,621"
"207","givemeadouble(1)","$2,263,168"
"208","engemania(1)","$2,231,263"
"209","slimedf(1)","$2,229,514"
"210","rgsawyer(1)","$2,216,320"
"211","broosth(1)","$2,196,019"
"212","cibogiii(1)","$2,151,028"
"213","Bear711(1)","$2,146,500"
"214","jakep0114(1)","$2,135,130"
"215","samjmcki96(1)","$2,115,013"
"216","DalmatianNation(1)","$2,114,488"
"217","Lugers-Bacon(1)","$2,106,362"
"218","skipperjenkins(1)","$2,101,324"
"219","Hamill-995(1)","$2,085,996"
"220","misterbanks(1)","$2,067,812"
"221","chbj(1)","$2,066,749"
"222","partyoffore(1)","$2,049,865"
"223","seekers3.0(1)","$2,033,536"
"224","mbschroeder1422(1)","$2,026,945"
"225","sofakinglong(1)","$2,019,647"
"226","zgreen157(1)","$2,003,428"
"227","pickles(1)","$1,999,530"
"228","spiresh(1)","$1,993,802"
"229","reeseyow(1)","$1,986,645"
"230","ojlimpsin(1)","$1,960,184"
"231","miloscf(1)","$1,960,077"
"232","leschaef(1)","$1,949,727"
"233","evensteven(1)","$1,947,483"
"234","bakecityutah(1)","$1,920,136"
"235","elhomanator(1)","$1,906,486"
"236","PottsLozier(1)","$1,886,421"
"237","cavinok8(1)","$1,869,426"
"238","jjwooly(1)","$1,865,750"
"239","halliam1114(1)","$1,865,701"
"240","apriest25(1)","$1,827,597"
"241","oleboyroy14(2)","$1,818,953"
"242","SPANKGAWD(1)","$1,813,418"
"243","Seanpins(5)","$1,759,719"
