USER,TOURNAMENT,PICK,EARNINGS
C-Alt24 (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
C-Alt24 (1),Cognizant Classic,R. Neergaard-Petersen,31776
C-Alt24 (1),The Genesis Invitational,M. Fitzpatrick,178250
C-Alt24 (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
C-Alt24 (1),WM Phoenix Open,S. Woo Kim,439680
C-Alt24 (1),Masters Tournament,S. Scheffler,2700000
C-Alt24 (1),Valero Texas Open,R. MacIntyre,741533
C-Alt24 (1),Texas Children's Houston Open,M. Thorbjornsen,170775
C-Alt24 (1),Valspar Championship,R. Hisatsune,51142
cbhoskins (1),The Players Championship,C. Young,5000000
cbhoskins (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
cbhoskins (1),Cognizant Classic,K. Mitchell,324000
cbhoskins (1),The Genesis Invitational,P. Cantlay,92250
cbhoskins (1),AT&T Pebble Beach Pro-Am,J. Day,162000
cbhoskins (1),WM Phoenix Open,M. McNealy,188000
cbhoskins (1),Masters Tournament,J. Rahm,112500
cbhoskins (1),Valero Texas Open,S. Straka,-50000
cbhoskins (1),Texas Children's Houston Open,C. Gotterup,322988
cbhoskins (1),Valspar Championship,J. Bridgeman,161525
cookiemonsterz (1),The Players Championship,C. Morikawa,0
cookiemonsterz (1),Arnold Palmer Invitational presented by Mastercard,J. Knapp,0
cookiemonsterz (1),Cognizant Classic,R. Gerard,77600
cookiemonsterz (1),The Genesis Invitational,H. Matsuyama,136500
cookiemonsterz (1),AT&T Pebble Beach Pro-Am,J. Rose,78375
cookiemonsterz (1),WM Phoenix Open,C. Gotterup,1728000
cookiemonsterz (1),Masters Tournament,S. Scheffler,2700000
cookiemonsterz (1),Valero Texas Open,M. Thorbjornsen,-50000
cookiemonsterz (1),Texas Children's Houston Open,B. Koepka,-50000
