season,league_id,event_name,event_date,event_key,event_id,entry_id,username,player_name,dg_id,raw_winnings,event_order,start_date,event_name_sched,event_name_key,phase,year,close_odds,event_tier,pick_band,performance_risk,allocation_risk
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,jjhzg65,9thGreenAtNine,Si Woo Kim,14609,25913.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,36.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,64h9j7o,AKsREVENGE,Chris Kirk,12423,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,23.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,43hrmz5,anpyanks,Corey Conners,17576,18592.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,29.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,dnhqm0e,balvari,Ludvig Aberg,23950,44751.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,qzhkx78,BigCat97,Russell Henley,14578,373500.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,78hp55w,Bjrobins123,Chris Kirk,12423,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,23.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,oohqvv9,CashMonet,Corey Conners,17576,18592.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,29.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,64h9g9w,chrismurf21,J.T. Poston,21554,300875.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,31.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,neh7mge,docpalm,Adam Svensson,13997,44751.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,41.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,wrhd5vm,Donkosaurus,Corey Conners,17576,18592.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,29.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,ykhw95j,Dreamweaver816,Tyrrell Hatton,14796,153135.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,17.0,regular,elite,0.0,1.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,k6hx6gd,Enicola0922,Corey Conners,17576,18592.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,29.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,8vh0gp4,epab2350,Corey Conners,17576,18592.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,29.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,36h6jv5,GlizzyAtTheTurn,Corey Conners,17576,18592.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,29.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,wrhd3n7,golfprotriplets,Corey Conners,17576,18592.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,29.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,ykhwrxr,halliam1114,Ludvig Aberg,23950,44751.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,m3hgm7j,HLAXERS,Brian Harman,8825,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,19.0,regular,elite,0.0,1.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,wrhdgg8,itsabucslife1,Russell Henley,14578,373500.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,oohq00q,JermRussLFG,Corey Conners,17576,18592.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,29.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,vnhv54n,JLUDEOBV,Chris Kirk,12423,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,23.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,oohq04p,joempike,Chris Kirk,12423,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,23.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,dnhqx8j,jonescurtisw,Chris Kirk,12423,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,23.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,qzhk84y,josen1,Chris Kirk,12423,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,23.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,0dh95e7,jtsalvetti,Russell Henley,14578,373500.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,36hx0j9,JustDan,Russell Henley,14578,373500.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,gkhdr46,Kbhoff,Brian Harman,8825,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,19.0,regular,elite,0.0,1.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,78hp4ro,linkcalhoun,Eric Cole,21756,153135.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,31.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,m3h790r,logandempsey20,J.T. Poston,21554,300875.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,31.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,64he6nw,Mohmo,Si Woo Kim,14609,25913.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,36.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,gkhd55z,nausetsurf,Brian Harman,8825,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,19.0,regular,elite,0.0,1.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,53hpydy,one007,Russell Henley,14578,373500.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,jjhzgoz,pangomango,Russell Henley,14578,373500.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,64hep78,pbyrne11,Tyrrell Hatton,14796,153135.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,17.0,regular,elite,0.0,1.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,erhp3gm,picksixer360,Matt Kuchar,6169,0.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,56.0,regular,longshot,1.0,0.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,53hpqnr,Pitch12,Lucas Glover,7399,0.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,56.0,regular,longshot,1.0,0.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,k6hd763,Rjsut727,Russell Henley,14578,373500.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,ykhy67v,SamDanes26,Ludvig Aberg,23950,44751.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,53hpkgw,Sandell,Chris Kirk,12423,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,23.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,qzh6rzp,Skibasher,Brian Harman,8825,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,19.0,regular,elite,0.0,1.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,k6hx9nj,strokes3410,Corey Conners,17576,18592.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,29.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,dnhq46j,tboland1324,Russell Henley,14578,373500.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,r8h9kov,theWhistlesGoWo,Corey Conners,17576,18592.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,29.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,64h9jd8,thorrr,Russell Henley,14578,373500.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,21.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,qzh6p30,tice0101,Adam Svensson,13997,44751.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,41.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,wrhdqy3,Tiger4040,Keegan Bradley,13872,738700.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,56.0,regular,longshot,1.0,0.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,wrhdz40,vegatime99,Corey Conners,17576,18592.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,29.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,neh7k0d,Walshy0104,Chris Kirk,12423,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,23.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,nehvyvz,Wickednick,Eric Cole,21756,153135.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,31.0,regular,normie,0.5,0.25
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,43hrm4d,zjb23,Chris Kirk,12423,106102.0,,2024-01-14,Sony Open in Hawaii,sony open in hawaii,early,2024,23.0,regular,normie,0.5,0.25
2024,2024_small,The American Express,2024-01-18,The American Express_2024-01-18,2,jjhzg65,9thGreenAtNine,Sam Burns,19483,310800.0,,2024-01-21,The American Express,the american express,early,2024,31.0,regular,normie,0.5,0.25
