season,league_id,event_name,event_date,event_key,event_id,entry_id,username,player_name,dg_id,raw_winnings
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,jjhzg65,9thGreenAtNine,Si Woo Kim,14609.0,25913.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,64h9j7o,AKsREVENGE,Chris Kirk,12423.0,106102.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,43hrmz5,anpyanks,Corey Conners,17576.0,18592.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,dnhqm0e,balvari,Ludvig Aberg,23950.0,44751.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,qzhkx78,BigCat97,Russell Henley,14578.0,373500.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,78hp55w,Bjrobins123,Chris Kirk,12423.0,106102.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,oohqvv9,CashMonet,Corey Conners,17576.0,18592.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,64h9g9w,chrismurf21,J.T. Poston,21554.0,300875.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,neh7mge,docpalm,Adam Svensson,13997.0,44751.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,wrhd5vm,Donkosaurus,Corey Conners,17576.0,18592.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,ykhw95j,Dreamweaver816,Tyrrell Hatton,14796.0,153135.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,k6hx6gd,Enicola0922,Corey Conners,17576.0,18592.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,8vh0gp4,epab2350,Corey Conners,17576.0,18592.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,36h6jv5,GlizzyAtTheTurn,Corey Conners,17576.0,18592.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,wrhd3n7,golfprotriplets,Corey Conners,17576.0,18592.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,ykhwrxr,halliam1114,Ludvig Aberg,23950.0,44751.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,m3hgm7j,HLAXERS,Brian Harman,8825.0,106102.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,wrhdgg8,itsabucslife1,Russell Henley,14578.0,373500.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,oohq00q,JermRussLFG,Corey Conners,17576.0,18592.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,vnhv54n,JLUDEOBV,Chris Kirk,12423.0,106102.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,oohq04p,joempike,Chris Kirk,12423.0,106102.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,dnhqx8j,jonescurtisw,Chris Kirk,12423.0,106102.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,qzhk84y,josen1,Chris Kirk,12423.0,106102.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,0dh95e7,jtsalvetti,Russell Henley,14578.0,373500.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,36hx0j9,JustDan,Russell Henley,14578.0,373500.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,gkhdr46,Kbhoff,Brian Harman,8825.0,106102.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,78hp4ro,linkcalhoun,Eric Cole,21756.0,153135.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,m3h790r,logandempsey20,J.T. Poston,21554.0,300875.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,64he6nw,Mohmo,Si Woo Kim,14609.0,25913.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,gkhd55z,nausetsurf,Brian Harman,8825.0,106102.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,53hpydy,one007,Russell Henley,14578.0,373500.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,jjhzgoz,pangomango,Russell Henley,14578.0,373500.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,64hep78,pbyrne11,Tyrrell Hatton,14796.0,153135.0
2024,2024_small,Sony Open in Hawaii,2024-01-11,Sony Open in Hawaii_2024-01-11,6,erhp3gm,picksixer360,Matt Kuchar,6169.0,0.0
