season,week_num,event_id,event_tier,phase,username,actual_dg_id,actual_band,pred_top1,pred_top3,top1_prob,top3_prob,hit_top1,hit_top3,p_elite,p_normie,p_longshot
2025,3,4,regular,early,9thGreenAtNine,18634,normie,17780,"[17780, 18634, 17538]",0.08149488010054778,0.23088132585428026,0,1,0.19111111111111112,0.7355555555555555,0.07333333333333333
2025,3,4,regular,early,AKsREVENGE,9771,normie,17780,"[17780, 18634, 17538]",0.06453258019342573,0.18237223711055617,0,0,0.49777777777777776,0.4,0.10222222222222223
2025,3,4,regular,early,AndinoSmiles,13562,elite,23950,"[23950, 11676, 23465]",0.029135343947978117,0.08176539371069888,0,0,0.39999999999999997,0.39999999999999997,0.19999999999999998
2025,3,4,regular,early,BigBoKnows,17780,normie,17536,"[17536, 18554, 16394]",0.026441632356039906,0.07927946751855298,0,0,0.19999999999999998,0.39999999999999997,0.39999999999999997
2025,3,4,regular,early,BigCat97,23950,elite,18634,"[18634, 17780, 17538]",0.07199219084324186,0.20395946901859827,0,0,0.28941176470588237,0.6235294117647059,0.08705882352941177
2025,3,4,regular,early,Caleb2023,9771,normie,14609,"[14609, 13900, 15470]",0.027939032206983756,0.07899383523584709,0,0,0.39999999999999997,0.39999999999999997,0.19999999999999998
2025,3,4,regular,early,Cdimming,9771,normie,17488,"[17488, 28635, 12808]",0.029163189636167344,0.0590004892576685,0,0,0.6,0.20000000000000004,0.20000000000000004
2025,3,4,regular,early,Dreamweaver816,23465,normie,23014,"[23014, 17538, 23465]",0.10181600921247222,0.28841615382582153,0,1,0.21142857142857144,0.7371428571428572,0.051428571428571435
2025,3,4,regular,early,Enicola0922,23014,normie,23014,"[23014, 23465, 17538]",0.09173227370689592,0.25930725279982725,1,1,0.2311111111111111,0.6666666666666666,0.10222222222222223
2025,3,4,regular,early,GlizzyAtTheTurn,9771,normie,11676,"[11676, 13872, 9771]",0.0729009082481018,0.20641734737302522,0,1,0.4022222222222222,0.4733333333333334,0.12444444444444444
2025,3,4,regular,early,golfprotriplets,13872,normie,23014,"[23014, 23465, 17538]",0.07808979569392943,0.22074292476160867,0,0,0.3666666666666667,0.5711111111111111,0.06222222222222222
2025,3,4,regular,early,halliam1114,23014,normie,13872,"[13872, 11676, 23465]",0.0340622298010697,0.09631528086026057,0,0,0.09882352941176471,0.548235294117647,0.3529411764705882
2025,3,4,regular,early,JermRussLFG,23014,normie,17780,"[17780, 18634, 17538]",0.05778660323171746,0.16330777530978127,0,0,0.36470588235294116,0.5364705882352941,0.09882352941176471
2025,3,4,regular,early,JLUDEOBV,9771,normie,13872,"[13872, 11676, 9771]",0.09206779186245198,0.25533409873549984,0,1,0.3555555555555555,0.5422222222222223,0.10222222222222223
2025,3,4,regular,early,joempike,23465,normie,13872,"[13872, 11676, 23465]",0.09079296091140093,0.25713075245086736,0,1,0.30444444444444446,0.5933333333333334,0.10222222222222223
2025,3,4,regular,early,jonescurtisw,9771,normie,23014,"[23014, 23465, 17538]",0.09169882312647226,0.25911943639492907,0,0,0.3488888888888889,0.6,0.051111111111111114
2025,3,4,regular,early,jtsalvetti,9771,normie,11676,"[11676, 13872, 9771]",0.07171540803937226,0.20270935479879099,0,1,0.42857142857142855,0.493984962406015,0.07744360902255638
2025,3,4,regular,early,Kbhoff,13562,elite,23465,"[23465, 13872, 23014]",0.09035477265081704,0.2559077083021668,0,0,0.4,0.5485714285714286,0.05142857142857143
2025,3,4,regular,early,kbreardonPGA,23950,elite,9771,"[9771, 11676, 13872]",0.029635340760322086,0.07725190415103564,0,0,0.39999999999999997,0.39999999999999997,0.19999999999999998
2025,3,4,regular,early,Koronin,17780,normie,13872,"[13872, 23014, 11676]",0.038456177773471975,0.10486664258768741,0,0,0.20000000000000004,0.6,0.20000000000000004
2025,3,4,regular,early,kotsko,9771,normie,23014,"[23014, 17538, 23465]",0.03999896365823738,0.11302029972485358,0,0,0.20000000000000004,0.6,0.20000000000000004
2025,3,4,regular,early,Kuzoben,17780,normie,17488,"[17488, 28635, 12808]",0.029163189636167344,0.0590004892576685,0,0,0.6,0.20000000000000004,0.20000000000000004
2025,3,4,regular,early,kylemendel,13872,normie,17780,"[17780, 17538, 18634]",0.03844624682356957,0.10874272871799343,0,0,0.20000000000000004,0.6,0.20000000000000004
2025,3,4,regular,early,linkcalhoun,17488,elite,13872,"[13872, 23465, 11676]",0.03776624856723116,0.10692726817588627,0,0,0.1288888888888889,0.5311111111111111,0.33999999999999997
2025,3,4,regular,early,MasterJ12thMan,23014,normie,23950,"[23950, 28635, 12808]",0.030069614359035737,0.06012863672285536,0,0,0.5,0.25,0.25
2025,3,4,regular,early,mp925,18634,normie,17488,"[17488, 28635, 12808]",0.029163189636167344,0.0590004892576685,0,0,0.6,0.20000000000000004,0.20000000000000004
2025,3,4,regular,early,MVVPP2024,23950,elite,9771,"[9771, 11676, 13872]",0.029634418388168396,0.0772494997580582,0,0,0.39999999999999997,0.39999999999999997,0.19999999999999998
2025,3,4,regular,early,MWalker9,23465,normie,23950,"[23950, 17780, 18634]",0.02752565474528127,0.08133445900401377,0,0,0.39999999999999997,0.39999999999999997,0.19999999999999998
2025,3,4,regular,early,newcastle21,9771,normie,13900,"[13900, 21891, 14609]",0.0278284911751644,0.07863164756919405,0,0,0.39999999999999997,0.39999999999999997,0.19999999999999998
2025,3,4,regular,early,Nikopmelis,13562,elite,23014,"[23014, 17538, 23465]",0.03901935069892396,0.11025232425374028,0,0,0.20000000000000004,0.6,0.20000000000000004
2025,3,4,regular,early,NinnaNation,21891,normie,18634,"[18634, 21891, 17780]",0.03844624682356957,0.10874272871799343,0,1,0.20000000000000004,0.6,0.20000000000000004
2025,3,4,regular,early,one007,16394,longshot,11676,"[11676, 13872, 9771]",0.04482471219275331,0.12668121604080482,0,0,0.26,0.48,0.26
2025,3,4,regular,early,OrangeBirds8,9771,normie,9771,"[9771, 25569, 17543]",0.01890600267874132,0.056707679773681276,1,1,0.19999999999999998,0.39999999999999997,0.39999999999999997
2025,3,4,regular,early,pangomango,23465,normie,23465,"[23465, 23014, 13872]",0.06808671493144892,0.1925059787754764,1,1,0.2533333333333333,0.6511111111111111,0.09555555555555556
2025,3,4,regular,early,pbyrne11,17780,normie,17780,"[17780, 18634, 17538]",0.054256090723371314,0.15340175920881916,1,1,0.24222222222222223,0.6288888888888888,0.1288888888888889
2025,3,4,regular,early,Pjh5165,23014,normie,17488,"[17488, 9771, 13872]",0.030284237641616446,0.08158629407427952,0,0,0.39999999999999997,0.39999999999999997,0.19999999999999998
2025,3,4,regular,early,Rjsut727,23950,elite,11676,"[11676, 23465, 9771]",0.09363664875630935,0.25015237863231166,0,0,0.24222222222222223,0.6844444444444444,0.07333333333333333
2025,3,4,regular,early,rnadams480,17538,normie,17538,"[17538, 23014, 17780]",0.03965396537684008,0.1120596264497281,1,1,0.20000000000000004,0.6,0.20000000000000004
2025,3,4,regular,early,Sandell,23465,normie,23465,"[23465, 23014, 13562]",0.06801207312388777,0.18909502361253283,1,1,0.39555555555555555,0.46888888888888886,0.13555555555555557
2025,3,4,regular,early,Skibasher,17538,normie,23014,"[23014, 13562, 17538]",0.052245754965961705,0.1469257623410187,0,1,0.40969696969696967,0.43757575757575756,0.15272727272727274
2025,3,4,regular,early,strokes3410,9771,normie,23014,"[23014, 23465, 17538]",0.062365345067421446,0.17621236399296294,0,0,0.3733333333333333,0.5133333333333333,0.11333333333333334
2025,3,4,regular,early,Sullivanchris01,9771,normie,23014,"[23014, 17538, 17780]",0.040378035881880436,0.10632557670433307,0,0,0.20000000000000004,0.6,0.20000000000000004
2025,3,4,regular,early,thorrr,13872,normie,13872,"[13872, 23465, 23014]",0.09785268942689024,0.255567764622336,1,1,0.2866666666666667,0.6511111111111111,0.06222222222222222
2025,3,4,regular,early,tice0101,23950,elite,17780,"[17780, 18634, 17538]",0.08874816846076418,0.2514304552148488,0,0,0.23428571428571426,0.7028571428571428,0.06285714285714286
2025,3,4,regular,early,Tiger4040,9771,normie,18634,"[18634, 21891, 17780]",0.08742401629161332,0.24727318977747972,0,0,0.3054545454545455,0.5903030303030303,0.10424242424242425
2025,3,4,regular,early,vegatime99,9771,normie,13872,"[13872, 23465, 11676]",0.04147148899858074,0.11732836852785947,0,0,0.49142857142857144,0.32571428571428573,0.18285714285714286
2025,3,4,regular,early,Walshy0104,13562,elite,13872,"[13872, 11676, 23465]",0.09223184170451314,0.2609925396893329,0,0,0.23555555555555557,0.6511111111111111,0.11333333333333334
2025,3,4,regular,early,zjb23,18634,normie,18634,"[18634, 17780, 17538]",0.0699597684388076,0.1982014584680855,1,1,0.19111111111111112,0.7133333333333334,0.09555555555555556
