username,entryId,eventName,eventDate,selection,winnings
9thGreenAtNine,ykh55y6,Sony Open in Hawaii,2025-01-09,Russell Henley,195025.00
AKsREVENGE,53h8379,Sony Open in Hawaii,2025-01-09,Corey Conners,0.00
AndinoSmiles,ykh50k3,Sony Open in Hawaii,2025-01-09,Keegan Bradley,283837.00
BigBoKnows,vnhodz8,Sony Open in Hawaii,2025-01-09,Chris Kirk,0.00
BigCat97,ooh8wv8,Sony Open in Hawaii,2025-01-09,Sahith Theegala,36975.00
Caleb2023,43hxj44,Sony Open in Hawaii,2025-01-09,Taylor Pendrith,24381.00
Cdimming,53h00jr,Sony Open in Hawaii,2025-01-09,Corey Conners,0.00
Dreamweaver816,43hx430,Sony Open in Hawaii,2025-01-09,Keegan Bradley,283837.00
Enicola0922,qzhk4d9,Sony Open in Hawaii,2025-01-09,Byeong Hun An,0.00
GlizzyAtTheTurn,78hzo75,Sony Open in Hawaii,2025-01-09,Russell Henley,195025.00
golfprotriplets,p8hdx4o,Sony Open in Hawaii,2025-01-09,Tom Kim,18444.00
halliam1114,64h9ovg,Sony Open in Hawaii,2025-01-09,Kurt Kitayama,36975.00
JermRussLFG,k6hdm7n,Sony Open in Hawaii,2025-01-09,Corey Conners,0.00
JLUDEOBV,k6hd3vg,Sony Open in Hawaii,2025-01-09,Harry Hall,195025.00
joempike,0dh97eo,Sony Open in Hawaii,2025-01-09,Russell Henley,195025.00
jonescurtisw,oohnzzy,Sony Open in Hawaii,2025-01-09,Maverick McNealy,24381.00
jtsalvetti,78hg7gx,Sony Open in Hawaii,2025-01-09,Hideki Matsuyama,132675.00
Kbhoff,k6hdexv,Sony Open in Hawaii,2025-01-09,J.T. Poston,0.00
kbreardonPGA,zphy5wn,Sony Open in Hawaii,2025-01-09,Russell Henley,195025.00
Koronin,p8hdnq8,Sony Open in Hawaii,2025-01-09,Tom Kim,18444.00
kotsko,vnh3m0z,Sony Open in Hawaii,2025-01-09,Kurt Kitayama,36975.00
Kuzoben,nehv68n,Sony Open in Hawaii,2025-01-09,Corey Conners,0.00
kylemendel,p8hde67,Sony Open in Hawaii,2025-01-09,Russell Henley,195025.00
linkcalhoun,r8hryjj,Sony Open in Hawaii,2025-01-09,Austin Eckroat,0.00
MasterJ12thMan,k6hy7vy,Sony Open in Hawaii,2025-01-09,Hideki Matsuyama,132675.00
mp925,x0h7qno,Sony Open in Hawaii,2025-01-09,Corey Conners,0.00
MVVPP2024,qzhkmpj,Sony Open in Hawaii,2025-01-09,Russell Henley,195025.00
MWalker9,53h0555,Sony Open in Hawaii,2025-01-09,Hideki Matsuyama,132675.00
newcastle21,78hzx7g,Sony Open in Hawaii,2025-01-09,Austin Eckroat,0.00
Nikopmelis,78hg6oy,Sony Open in Hawaii,2025-01-09,Russell Henley,195025.00
NinnaNation,gkh936n,Sony Open in Hawaii,2025-01-09,Byeong Hun An,0.00
one007,zphyqd8,Sony Open in Hawaii,2025-01-09,Chris Kirk,0.00
OrangeBirds8,m3hgno7,Sony Open in Hawaii,2025-01-09,Russell Henley,195025.00
pangomango,0dh9xrv,Sony Open in Hawaii,2025-01-09,Corey Conners,0.00
pbyrne11,jjhmnzj,Sony Open in Hawaii,2025-01-09,J.T. Poston,0.00
picksixer360,p8h94mo,Sony Open in Hawaii,2025-01-09,Taylor Pendrith,24381.00
Pjh5165,36h6038,Sony Open in Hawaii,2025-01-09,Corey Conners,0.00
Rjsut727,qzhy7mq,Sony Open in Hawaii,2025-01-09,Keegan Bradley,283837.00
rnadams480,43hxwkx,Sony Open in Hawaii,2025-01-09,Keegan Bradley,283837.00
Sandell,0dh4yxe,Sony Open in Hawaii,2025-01-09,Keegan Bradley,283837.00
Skibasher,jjhk5xo,Sony Open in Hawaii,2025-01-09,Daniel Berger,0.00
strokes3410,43hq9ex,Sony Open in Hawaii,2025-01-09,Russell Henley,195025.00
Sullivanchris01,0dh9x7r,Sony Open in Hawaii,2025-01-09,Byeong Hun An,0.00
thorrr,k6hy553,Sony Open in Hawaii,2025-01-09,Tom Kim,18444.00
tice0101,gkhw4xy,Sony Open in Hawaii,2025-01-09,Hideki Matsuyama,132675.00
Tiger4040,qzhkdgm,Sony Open in Hawaii,2025-01-09,Russell Henley,195025.00
vegatime99,wrh834r,Sony Open in Hawaii,2025-01-09,Hideki Matsuyama,132675.00
Walshy0104,53h86q4,Sony Open in Hawaii,2025-01-09,Russell Henley,195025.00
zjb23,x0h77jq,Sony Open in Hawaii,2025-01-09,Robert MacIntyre,20387.00
9thGreenAtNine,ykh55y6,The American Express,2025-01-16,Cameron Young,0.00
AKsREVENGE,53h8379,The American Express,2025-01-16,Justin Thomas,959200.00
AndinoSmiles,ykh50k3,The American Express,2025-01-16,Justin Thomas,959200.00
BigBoKnows,vnhodz8,The American Express,2025-01-16,Cameron Young,0.00
BigCat97,ooh8wv8,The American Express,2025-01-16,Si Woo Kim,21032.00
Caleb2023,43hxj44,The American Express,2025-01-16,Sam Burns,57640.00
Cdimming,53h00jr,The American Express,2025-01-16,Sam Burns,57640.00
Dreamweaver816,43hx430,The American Express,2025-01-16,Justin Thomas,959200.00
Enicola0922,qzhk4d9,The American Express,2025-01-16,Sam Burns,57640.00
GlizzyAtTheTurn,78hzo75,The American Express,2025-01-16,Sam Burns,57640.00
golfprotriplets,p8hdx4o,The American Express,2025-01-16,Justin Thomas,959200.00
halliam1114,64h9ovg,The American Express,2025-01-16,Mac Meissner,18304.00
JermRussLFG,k6hdm7n,The American Express,2025-01-16,Sam Burns,57640.00
JLUDEOBV,k6hd3vg,The American Express,2025-01-16,Max Greyserman,267300.00
joempike,0dh97eo,The American Express,2025-01-16,Sungjae Im,0.00
jonescurtisw,oohnzzy,The American Express,2025-01-16,Sam Burns,57640.00
jtsalvetti,78hg7gx,The American Express,2025-01-16,Sungjae Im,0.00
Kbhoff,k6hdexv,The American Express,2025-01-16,Sungjae Im,0.00
kbreardonPGA,zphy5wn,The American Express,2025-01-16,Sungjae Im,0.00
Koronin,p8hdnq8,The American Express,2025-01-16,Max Greyserman,267300.00
kotsko,vnh3m0z,The American Express,2025-01-16,Tony Finau,0.00
Kuzoben,nehv68n,The American Express,2025-01-16,Sam Burns,57640.00
kylemendel,p8hde67,The American Express,2025-01-16,Davis Thompson,21032.00
linkcalhoun,r8hryjj,The American Express,2025-01-16,J.T. Poston,169400.00
mp925,x0h7qno,The American Express,2025-01-16,Sam Burns,57640.00
MVVPP2024,qzhkmpj,The American Express,2025-01-16,Sam Burns,57640.00
MWalker9,53h0555,The American Express,2025-01-16,Wyndham Clark,0.00
newcastle21,78hzx7g,The American Express,2025-01-16,Sam Burns,57640.00
Nikopmelis,78hg6oy,The American Express,2025-01-16,Si Woo Kim,21032.00
NinnaNation,gkh936n,The American Express,2025-01-16,Davis Thompson,21032.00
one007,zphyqd8,The American Express,2025-01-16,Nick Dunlap,42093.00
OrangeBirds8,m3hgno7,The American Express,2025-01-16,Christiaan Bezuidenhout,0.00
pangomango,0dh9xrv,The American Express,2025-01-16,Tom Kim,0.00
pbyrne11,jjhmnzj,The American Express,2025-01-16,Harry Hall,83270.00
picksixer360,p8h94mo,The American Express,2025-01-16,Sam Burns,57640.00
Pjh5165,36h6038,The American Express,2025-01-16,Tony Finau,0.00
Rjsut727,qzhy7mq,The American Express,2025-01-16,Tom Kim,0.00
rnadams480,43hxwkx,The American Express,2025-01-16,Si Woo Kim,21032.00
Sandell,0dh4yxe,The American Express,2025-01-16,Patrick Cantlay,339900.00
Skibasher,jjhk5xo,The American Express,2025-01-16,Max Greyserman,267300.00
strokes3410,43hq9ex,The American Express,2025-01-16,Adam Hadwin,0.00
Sullivanchris01,0dh9x7r,The American Express,2025-01-16,Max Greyserman,267300.00
thorrr,k6hy553,The American Express,2025-01-16,Tony Finau,0.00
tice0101,gkhw4xy,The American Express,2025-01-16,Si Woo Kim,21032.00
Tiger4040,qzhkdgm,The American Express,2025-01-16,Si Woo Kim,21032.00
vegatime99,wrh834r,The American Express,2025-01-16,Justin Thomas,959200.00
Walshy0104,53h86q4,The American Express,2025-01-16,Si Woo Kim,21032.00
zjb23,x0h77jq,The American Express,2025-01-16,Cameron Young,0.00
9thGreenAtNine,ykh55y6,Farmers Insurance Open,2025-01-22,Maverick McNealy,22646.00
AKsREVENGE,53h8379,Farmers Insurance Open,2025-01-22,Jason Day,52080.00
AndinoSmiles,ykh50k3,Farmers Insurance Open,2025-01-22,Hideki Matsuyama,52080.00
BigBoKnows,vnhodz8,Farmers Insurance Open,2025-01-22,Taylor Pendrith,302250.00
BigCat97,ooh8wv8,Farmers Insurance Open,2025-01-22,Ludvig Aberg,33945.00
Caleb2023,43hxj44,Farmers Insurance Open,2025-01-22,Jason Day,52080.00
Cdimming,53h00jr,Farmers Insurance Open,2025-01-22,Jason Day,52080.00
Dreamweaver816,43hx430,Farmers Insurance Open,2025-01-22,Max Greyserman,25482.00
Enicola0922,qzhk4d9,Farmers Insurance Open,2025-01-22,Sahith Theegala,22646.00
GlizzyAtTheTurn,78hzo75,Farmers Insurance Open,2025-01-22,Jason Day,52080.00
golfprotriplets,p8hdx4o,Farmers Insurance Open,2025-01-22,Keegan Bradley,132732.00
halliam1114,64h9ovg,Farmers Insurance Open,2025-01-22,Sahith Theegala,22646.00
JermRussLFG,k6hdm7n,Farmers Insurance Open,2025-01-22,Sahith Theegala,22646.00
JLUDEOBV,k6hd3vg,Farmers Insurance Open,2025-01-22,Jason Day,52080.00
joempike,0dh97eo,Farmers Insurance Open,2025-01-22,Max Greyserman,25482.00
jonescurtisw,oohnzzy,Farmers Insurance Open,2025-01-22,Jason Day,52080.00
jtsalvetti,78hg7gx,Farmers Insurance Open,2025-01-22,Jason Day,52080.00
Kbhoff,k6hdexv,Farmers Insurance Open,2025-01-22,Hideki Matsuyama,52080.00
kbreardonPGA,zphy5wn,Farmers Insurance Open,2025-01-22,Ludvig Aberg,33945.00
Koronin,p8hdnq8,Farmers Insurance Open,2025-01-22,Taylor Pendrith,302250.00
kotsko,vnh3m0z,Farmers Insurance Open,2025-01-22,Jason Day,52080.00
Kuzoben,nehv68n,Farmers Insurance Open,2025-01-22,Taylor Pendrith,302250.00
kylemendel,p8hde67,Farmers Insurance Open,2025-01-22,Keegan Bradley,132732.00
linkcalhoun,r8hryjj,Farmers Insurance Open,2025-01-22,Sungjae Im,418500.00
