season,username,entryId,event_name,eventDate,selection,winnings
2026,jtsalvetti,vnh36vq,The American Express,2026-01-22,Patrick Cantlay,169740
2026,Jwhit25,53he4g4,The American Express,2026-01-22,Ben Griffin,81420
2026,Kbhoff,36hmp75,The American Express,2026-01-22,Si Woo Kim,322000
2026,kotsko,36hmm9z,The American Express,2026-01-22,Russell Henley,250700
2026,Kriegs,m3h6nm8,The American Express,2026-01-22,J.T. Poston,39100
2026,linkcalhoun,p8hd469,The American Express,2026-01-22,Ben Griffin,81420
2026,Mbrowder,nehqwrq,The American Express,2026-01-22,Si Woo Kim,322000
2026,MWalker9,53h0vzo,The American Express,2026-01-22,Daniel Berger,20884
2026,newcastle21,8vh9ek9,The American Express,2026-01-22,Si Woo Kim,322000
2026,Nikopmelis,36hmn6j,The American Express,2026-01-22,Harry Hall,81420
2026,one007,x0h7nzj,The American Express,2026-01-22,Max Greyserman,20884
2026,Ottomatic,r8h6myq,The American Express,2026-01-22,Christiaan Bezuidenhout,39100
2026,pbyrne11,wrhmp93,The American Express,2026-01-22,Harry Hall,81420
2026,picksixer360,m3h8mey,The American Express,2026-01-22,Daniel Berger,20884
2026,Pjh5165,36hm6vj,The American Express,2026-01-22,Sam Burns,57918
2026,Ponta01,x0h7wo6,The American Express,2026-01-22,Matt Fitzpatrick,19688
2026,Rjsut727,erh7z6m,The American Express,2026-01-22,Russell Henley,250700
2026,Rye1987,36hm5jq,The American Express,2026-01-22,Daniel Berger,20884
2026,SJUPRIDE10,64hmvvv,The American Express,2026-01-22,Michael Thorbjornsen,0
2026,Skibasher,m3h6p00,The American Express,2026-01-22,Kurt Kitayama,0
2026,Sullivanchris01,53hepg6,The American Express,2026-01-22,Rasmus Hojgaard,25377
2026,talktob,vnh4gw5,The American Express,2026-01-22,Russell Henley,250700
2026,Tbargie,dnhzpdq,The American Express,2026-01-22,Si Woo Kim,322000
2026,ThePME,36hogo7,The American Express,2026-01-22,Russell Henley,250700
2026,tice0101,x0h73j9,The American Express,2026-01-22,Ben Griffin,81420
2026,Tiger4040,wrhm9kd,The American Express,2026-01-22,Daniel Berger,20884
2026,Walshy0104,m3h80k9,The American Express,2026-01-22,Harry Hall,81420
2026,Zsather,nehqkoz,The American Express,2026-01-22,Ryan Gerard,616400
