username,entryId,eventName,eventDate,selection,winnings
JustDan,36hx0j9,The American Express,2024-01-18,Sam Burns,310800.00
Kbhoff,gkhdr46,The American Express,2024-01-18,Tony Finau,63980.00
linkcalhoun,78hp4ro,The American Express,2024-01-18,J.T. Poston,212100.00
logandempsey20,m3h790r,The American Express,2024-01-18,Adam Hadwin,310800.00
Mohmo,64he6nw,The American Express,2024-01-18,Sungjae Im,63980.00
nausetsurf,gkhd55z,The American Express,2024-01-18,Eric Cole,99120.00
one007,53hpydy,The American Express,2024-01-18,Sungjae Im,63980.00
pangomango,jjhzgoz,The American Express,2024-01-18,Sungjae Im,63980.00
pbyrne11,64hep78,The American Express,2024-01-18,J.T. Poston,212100.00
picksixer360,erhp3gm,The American Express,2024-01-18,Si Woo Kim,63980.00
Pitch12,53hpqnr,The American Express,2024-01-18,Sam Burns,310800.00
Rjsut727,k6hd763,The American Express,2024-01-18,Chris Kirk,23705.00
SamDanes26,ykhy67v,The American Express,2024-01-18,Min Woo Lee,99120.00
Sandell,53hpkgw,The American Express,2024-01-18,Patrick Cantlay,20454.00
Skibasher,qzh6rzp,The American Express,2024-01-18,Min Woo Lee,99120.00
strokes3410,k6hx9nj,The American Express,2024-01-18,Xander Schauffele,635600.00
tboland1324,dnhq46j,The American Express,2024-01-18,J.T. Poston,212100.00
theWhistlesGoWo,r8h9kov,The American Express,2024-01-18,Sungjae Im,63980.00
thorrr,64h9jd8,The American Express,2024-01-18,Eric Cole,99120.00
tice0101,qzh6p30,The American Express,2024-01-18,Chris Kirk,23705.00
Tiger4040,wrhdqy3,The American Express,2024-01-18,Chris Kirk,23705.00
vegatime99,wrhdz40,The American Express,2024-01-18,Sungjae Im,63980.00
Walshy0104,neh7k0d,The American Express,2024-01-18,J.T. Poston,212100.00
Wickednick,nehvyvz,The American Express,2024-01-18,Tom Kim,0.00
zjb23,43hrm4d,The American Express,2024-01-18,Wyndham Clark,34020.00
9thGreenAtNine,jjhzg65,Farmers Insurance Open,2024-01-24,Jason Day,0.00
AKsREVENGE,64h9j7o,Farmers Insurance Open,2024-01-24,Keegan Bradley,28530.00
anpyanks,43hrmz5,Farmers Insurance Open,2024-01-24,Sepp Straka,0.00
balvari,dnhqm0e,Farmers Insurance Open,2024-01-24,Tony Finau,303750.00
BigCat97,qzhkx78,Farmers Insurance Open,2024-01-24,Sahith Theegala,19080.00
Bjrobins123,78hp55w,Farmers Insurance Open,2024-01-24,Ludvig Aberg,236250.00
CashMonet,oohqvv9,Farmers Insurance Open,2024-01-24,Tony Finau,303750.00
chrismurf21,64h9g9w,Farmers Insurance Open,2024-01-24,Sepp Straka,0.00
docpalm,neh7mge,Farmers Insurance Open,2024-01-24,Sahith Theegala,19080.00
Donkosaurus,wrhd5vm,Farmers Insurance Open,2024-01-24,Tony Finau,303750.00
Dreamweaver816,ykhw95j,Farmers Insurance Open,2024-01-24,Tony Finau,303750.00
Enicola0922,k6hx6gd,Farmers Insurance Open,2024-01-24,Tony Finau,303750.00
epab2350,8vh0gp4,Farmers Insurance Open,2024-01-24,Ludvig Aberg,236250.00
GlizzyAtTheTurn,36h6jv5,Farmers Insurance Open,2024-01-24,Xander Schauffele,236250.00
golfprotriplets,wrhd3n7,Farmers Insurance Open,2024-01-24,Sahith Theegala,19080.00
halliam1114,ykhwrxr,Farmers Insurance Open,2024-01-24,Hideki Matsuyama,156536.00
HLAXERS,m3hgm7j,Farmers Insurance Open,2024-01-24,Jason Day,0.00
itsabucslife1,wrhdgg8,Farmers Insurance Open,2024-01-24,Keegan Bradley,28530.00
JermRussLFG,oohq00q,Farmers Insurance Open,2024-01-24,Keegan Bradley,28530.00
JLUDEOBV,vnhv54n,Farmers Insurance Open,2024-01-24,Sungjae Im,0.00
joempike,oohq04p,Farmers Insurance Open,2024-01-24,Min Woo Lee,28530.00
jonescurtisw,dnhqx8j,Farmers Insurance Open,2024-01-24,Keegan Bradley,28530.00
josen1,qzhk84y,Farmers Insurance Open,2024-01-24,Tony Finau,303750.00
JustDan,36hx0j9,Farmers Insurance Open,2024-01-24,Patrick Cantlay,20340.00
Kbhoff,gkhdr46,Farmers Insurance Open,2024-01-24,Min Woo Lee,28530.00
linkcalhoun,78hp4ro,Farmers Insurance Open,2024-01-24,Ludvig Aberg,236250.00
logandempsey20,m3h790r,Farmers Insurance Open,2024-01-24,Max Homa,156536.00
Mohmo,64he6nw,Farmers Insurance Open,2024-01-24,Min Woo Lee,28530.00
nausetsurf,gkhd55z,Farmers Insurance Open,2024-01-24,Xander Schauffele,236250.00
one007,53hpydy,Farmers Insurance Open,2024-01-24,Min Woo Lee,28530.00
pangomango,jjhzgoz,Farmers Insurance Open,2024-01-24,Ludvig Aberg,236250.00
pbyrne11,64hep78,Farmers Insurance Open,2024-01-24,Ludvig Aberg,236250.00
picksixer360,erhp3gm,Farmers Insurance Open,2024-01-24,Sahith Theegala,19080.00
Pitch12,53hpqnr,Farmers Insurance Open,2024-01-24,Sungjae Im,0.00
Rjsut727,k6hd763,Farmers Insurance Open,2024-01-24,Collin Morikawa,0.00
SamDanes26,ykhy67v,Farmers Insurance Open,2024-01-24,Max Homa,156536.00
Sandell,53hpkgw,Farmers Insurance Open,2024-01-24,Xander Schauffele,236250.00
Skibasher,qzh6rzp,Farmers Insurance Open,2024-01-24,Max Homa,156536.00
strokes3410,k6hx9nj,Farmers Insurance Open,2024-01-24,Jason Day,0.00
theWhistlesGoWo,r8h9kov,Farmers Insurance Open,2024-01-24,Xander Schauffele,236250.00
thorrr,64h9jd8,Farmers Insurance Open,2024-01-24,Min Woo Lee,28530.00
tice0101,qzh6p30,Farmers Insurance Open,2024-01-24,Sepp Straka,0.00
Tiger4040,wrhdqy3,Farmers Insurance Open,2024-01-24,Collin Morikawa,0.00
vegatime99,wrhdz40,Farmers Insurance Open,2024-01-24,Max Homa,156536.00
Walshy0104,neh7k0d,Farmers Insurance Open,2024-01-24,Sahith Theegala,19080.00
Wickednick,nehvyvz,Farmers Insurance Open,2024-01-24,Ludvig Aberg,236250.00
zjb23,43hrm4d,Farmers Insurance Open,2024-01-24,Tony Finau,303750.00
9thGreenAtNine,jjhzg65,AT&T Pebble Beach Pro-Am,2024-02-01,Justin Thomas,642500.00
AKsREVENGE,64h9j7o,AT&T Pebble Beach Pro-Am,2024-02-01,Viktor Hovland,38250.00
anpyanks,43hrmz5,AT&T Pebble Beach Pro-Am,2024-02-01,Jordan Spieth,70125.00
balvari,dnhqm0e,AT&T Pebble Beach Pro-Am,2024-02-01,Patrick Cantlay,455000.00
BigCat97,qzhkx78,AT&T Pebble Beach Pro-Am,2024-02-01,Viktor Hovland,38250.00
Bjrobins123,78hp55w,AT&T Pebble Beach Pro-Am,2024-02-01,Tommy Fleetwood,106625.00
CashMonet,oohqvv9,AT&T Pebble Beach Pro-Am,2024-02-01,Jason Day,642500.00
chrismurf21,64h9g9w,AT&T Pebble Beach Pro-Am,2024-02-01,Patrick Cantlay,455000.00
docpalm,neh7mge,AT&T Pebble Beach Pro-Am,2024-02-01,Jordan Spieth,70125.00
Donkosaurus,wrhd5vm,AT&T Pebble Beach Pro-Am,2024-02-01,Jason Day,642500.00
Dreamweaver816,ykhw95j,AT&T Pebble Beach Pro-Am,2024-02-01,Xander Schauffele,42500.00
Enicola0922,k6hx6gd,AT&T Pebble Beach Pro-Am,2024-02-01,Jordan Spieth,70125.00
epab2350,8vh0gp4,AT&T Pebble Beach Pro-Am,2024-02-01,Matt Fitzpatrick,38250.00
GlizzyAtTheTurn,36h6jv5,AT&T Pebble Beach Pro-Am,2024-02-01,Max Homa,35313.00
golfprotriplets,wrhd3n7,AT&T Pebble Beach Pro-Am,2024-02-01,Patrick Cantlay,455000.00
halliam1114,ykhwrxr,AT&T Pebble Beach Pro-Am,2024-02-01,Justin Thomas,642500.00
HLAXERS,m3hgm7j,AT&T Pebble Beach Pro-Am,2024-02-01,Xander Schauffele,42500.00
