tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse,finish_num,round_date
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Echavarria, Nico",22833,CUT,2,Waialae Country Club,6,70.0,1.0,7:43am,72.0,-1.721,-0.1,0.375,-0.52,-0.245,-1.966,287.0,0.571,0.778,0.4,55.198,27.371,2.0,4.0,0.0,1.0,14.0,3.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Echavarria, Nico",22833,CUT,1,Waialae Country Club,6,70.0,10.0,12:13pm,75.0,-3.516,-1.176,-1.522,-0.003,-2.701,-6.217,290.3,0.429,0.556,0.3,64.17,35.094,1.0,3.0,0.0,3.0,8.0,6.0,1.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Kang, Jeffrey",21889,CUT,2,Waialae Country Club,6,70.0,10.0,8:38am,73.0,-2.269,-0.978,0.74,-0.459,-0.697,-2.966,290.6,0.571,0.556,0.444,43.572,30.222,5.0,7.0,0.0,4.0,9.0,4.0,1.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Kang, Jeffrey",21889,CUT,1,Waialae Country Club,6,70.0,1.0,1:08pm,74.0,-2.086,-0.726,-1.007,-1.398,-3.131,-5.217,284.4,0.286,0.611,0.3,50.212,38.439,2.0,3.0,0.0,2.0,11.0,4.0,1.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Finau, Tony",11676,CUT,2,Waialae Country Club,6,70.0,10.0,7:54am,71.0,-1.336,1.071,-1.558,0.857,0.37,-0.966,302.1,0.714,0.556,0.556,22.282,32.664,2.0,2.0,0.0,3.0,11.0,4.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Rozo, Marcelo",16591,CUT,1,Waialae Country Club,6,70.0,1.0,1:19pm,73.0,-3.44,-0.675,0.318,-0.42,-0.777,-4.217,282.0,0.714,0.778,0.5,40.659,31.028,0.0,6.0,0.0,3.0,9.0,6.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Lee, S.T.",16162,CUT,2,Waialae Country Club,6,70.0,1.0,12:57pm,74.0,-0.897,0.507,-3.381,-0.195,-3.069,-3.966,294.0,0.357,0.333,0.643,30.094,50.374,2.0,5.0,0.0,1.0,12.0,5.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Lee, S.T.",16162,CUT,1,Waialae Country Club,6,70.0,10.0,8:27am,68.0,2.744,-1.058,-0.573,-0.33,-1.961,0.783,284.4,0.429,0.722,0.6,114.74,28.339,5.0,3.0,0.0,5.0,10.0,3.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Lebioda, Hank",21943,CUT,2,Waialae Country Club,6,70.0,10.0,7:10am,71.0,-0.992,1.415,-0.982,-0.407,0.026,-0.966,281.6,0.429,0.722,0.571,47.038,39.109,2.0,3.0,0.0,2.0,13.0,3.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"van Rooyen, Erik",17550,CUT,1,Waialae Country Club,6,70.0,1.0,7:21am,68.0,1.919,-0.259,-1.408,0.531,-1.136,0.783,295.4,0.571,0.667,0.667,58.989,31.513,4.0,2.0,0.0,5.0,10.0,3.0,0.0,CUT,2026-01-15
