course_num,course_name,imp_dist,imp_acc,imp_app,imp_arg,imp_putt,n_obs,n_events,n_players,target_season
4,Torrey Pines Golf Course (South Course),0.13872900158200263,0.017858353206189108,0.28438817925560356,0.0879929803155727,0.13769815230729862,800,2,425,2025
5,Pebble Beach Golf Links,0.06809993546945557,0.050677848091664465,0.20993084311133814,0.16274583230366887,0.08391709091771588,542,1,386,2025
6,Waialae Country Club,0.061156480272203724,0.041414342432761056,0.23903314772053727,0.11868261471217917,0.10255494491696356,515,1,376,2025
9,Arnold Palmer's Bay Hill Club & Lodge,0.16250480174690352,0.034360288039341214,0.12150706087307805,0.07400774037331014,0.11318253171149562,409,1,308,2025
11,TPC Sawgrass (THE PLAYERS Stadium Course),0.0891455555469574,0.05573983512920869,0.19149370003868685,0.06969298974802271,0.11716987424511004,439,1,317,2025
12,Harbour Town Golf Links,0.1343405744260565,0.138093155347915,0.07669248089252585,0.1243717885964272,0.0514426183142726,442,1,314,2025
14,Augusta National Golf Club,0.07955431059427984,0.07587522066185978,0.10362311475794739,0.09044996751221134,0.04626777922294632,262,1,143,2025
21,Colonial Country Club,0.07374239668846048,0.12730404337496457,0.14304306414411402,0.101386728726754,0.12441624018398649,530,1,330,2025
23,Muirfield Village Golf Club,0.1306356012346266,0.03918351431011874,0.18437330429929613,0.15000413657483558,0.06661889422489975,532,1,293,2025
503,TPC River Highlands,0.11362332909626338,0.1292455785840797,0.1423547560483694,0.04452882314501847,0.05610869564554925,378,1,378,2025
510,TPC Scottsdale (Stadium Course),0.1381288104677132,0.034665711314205025,0.1742354186869328,0.14449949889999272,0.09180389396448971,560,1,320,2025
513,TPC Southwind,0.06251275718633993,0.07431671482004872,0.21493160697796534,0.09689123691801886,0.08998666910339417,467,3,332,2025
656,Plantation Course at Kapalua,0.10588438882472621,0.01968637670874493,0.08374226712394986,0.11734775881570522,0.023988559176224444,216,1,161,2025
665,Innisbrook Resort (Copperhead Course),0.07864845640796074,0.045755159873802916,0.21014820639795312,0.10107264938448023,0.1338050220154586,529,1,395,2025
669,TPC Deere Run,0.11719568662914406,0.09183361323109894,0.13417260315733448,0.07542057803588831,0.07696389977881667,393,1,393,2025
688,East Lake Golf Club,0.04589549816770507,0.012647273854158462,0.09668780526379667,0.016267206689504772,0.05180318689862145,115,1,84,2025
704,Pete Dye Stadium Course,0.12023815979459895,0.07189119531926505,0.3080030613119011,0.05181877426641057,0.11471547597449103,800,1,396,2025
746,The Country Club of Jackson,0.17809303217199576,0.045942535430067315,0.191596239651601,0.0044898662331610195,0.19039439272544362,627,1,370,2025
752,Sedgefield Country Club,0.05469880172510966,0.1321701865085096,0.16841423338003345,0.10076866965561898,0.1315769747101098,570,1,425,2025
770,TPC San Antonio (Oaks Course),0.11820882419538918,0.04309615958760172,0.14966651910505255,0.20397394989306494,0.06444466288660976,551,1,410,2025
776,Sea Island Golf Club (Seaside Course),0.049013157387745955,0.1341279097089343,0.20251870928262664,0.08541103010264922,0.17557230305867993,732,1,370,2025
872,Quail Hollow-PGA Championship,0.12251470039248752,0.016607847641460876,0.17419126304246768,0.07339641941137916,0.056186705445352356,318,1,318,2025
876,Detroit Golf Club,0.15092256172924318,0.10212848482281107,0.09015903830911871,0.051509561566211615,0.08376796765344972,367,1,367,2025
883,TPC Twin Cities,0.07623707921472297,0.055832269418014946,0.18329051386698403,0.07153186740298043,0.09227493676396432,368,1,368,2025
897,Memorial Park Golf Course,0.16241860214630247,0.05488861871538652,0.14515384186926264,0.10016643996024673,0.10400304985484715,523,1,289,2025
921,TPC Craig Ranch,0.11984770412726287,0.07062976079928932,0.11512630359401445,0.04255336115578575,0.07959680451535005,299,1,218,2025
925,Dunes Golf and Beach Club,0.06467736403310917,0.006087435832878929,0.08706260893446142,0.0420837160039327,0.030858105964848566,120,1,120,2025
926,Silverado Resort (North Course),0.03403374822787422,0.020397825791550233,0.13174534016711295,0.05142327233752754,0.017520856306475076,137,1,137,2025
928,PGA National Resort (The Champion Course),0.08393856555295269,0.012713464279673315,0.07536138500807915,0.04615953124726181,0.03833263012021146,138,1,138,2025
930,Black Desert Resort,0.09155436335397756,0.06836915828064832,0.04337549916431172,0.02366142750427912,0.005285233078741083,121,1,121,2025
977,The Renaissance Club,0.10573718529884107,0.03324044416935912,0.09086251269580416,0.007667239170788675,0.07638627218150203,183,1,183,2025
978,Vidanta Vallarta,0.12545843294816278,0.03373702063035692,0.15029078924330805,0.026910100755990145,0.05104622916337661,253,1,253,2025
