course_num,course_name,status,n_player_events,r2,randomness,beta_ott,beta_app,beta_arg,beta_putt,beta_ott_shrunk,beta_app_shrunk,beta_arg_shrunk,beta_putt_shrunk,predictability,imp_ott,imp_app,imp_arg,imp_putt,primary_skill,predictability_pct,randomness_pct,r2_pct
500,The Riviera Country Club,ok,841,0.10654158721775997,0.89345841278224,1.229310877307219,0.6806390770023819,0.6219429582931182,0.7623237176385423,1.203420467506596,0.7539445435246338,0.6133939091671571,0.6657365856163031,1.6840755581492721,0.37182825230083894,0.23295090080307435,0.1895241034832686,0.20569674341281804,OTT,0.5166666666666667,0.5333333333333333,0.48333333333333334
9,Bay Hill Club & Lodge,ok,864,0.11841705229901167,0.8815829477009883,1.431508777810774,1.1138551879044276,0.3873429564153583,0.5587029821395046,1.3087656991535228,0.9778704414148716,0.4917005356740756,0.5613454729752834,1.7961003346933997,0.39188331124866843,0.2928034458740081,0.14722974034796862,0.1680835025293548,OTT,0.8333333333333334,0.4166666666666667,0.6
734,PGA National (Champion),ok,864,0.07442939960359063,0.9255706003964094,1.1349535940271482,0.6465941167299609,0.6074342290676199,0.552977305192172,1.1547851229581785,0.73525411599736,0.6059786964742884,0.5583725253295528,1.5978477251979222,0.3780738375770977,0.24072040737534317,0.19839594978424288,0.1828098052633162,OTT,0.2833333333333333,0.8333333333333334,0.18333333333333332
11,TPC Sawgrass,ok,1094,0.10747635736620664,0.8925236426337934,1.4941342326152132,0.8519972823212648,0.695816034720485,0.6935000430194362,1.3598444508152039,0.8431312349653561,0.6572059762423458,0.6388851834876466,1.8439471745892855,0.3886306009157672,0.24095888195080595,0.18782321266184676,0.18258730447158011,OTT,0.9166666666666666,0.5166666666666667,0.5
12,Harbour Town Golf Links,ok,1033,0.11381813535465435,0.8861818646453457,1.2711112183615354,0.6762297758795935,0.774992100549128,0.663173903347722,1.2296892678289248,0.7437811732943487,0.7005413076301372,0.6199771590946733,1.7147815985296786,0.37331311738759415,0.22579953791655308,0.21267263710605233,0.18821470758980047,OTT,0.5666666666666667,0.4666666666666667,0.55
752,Sedgefield Country Club,ok,1261,0.06487456929542135,0.9351254307045787,0.4678001561132612,1.0844705896662223,0.4312794837255321,0.4255615806487211,0.7427746415438017,0.9860858543105421,0.4984807404156663,0.4793753729550591,1.415048860270566,0.27441906515527587,0.36431071171239376,0.1841643630946577,0.1771058600376727,APP,0.05,0.9166666666666666,0.1
14,Augusta National Golf Club,ok,689,0.15462787183817772,0.8453721281618223,1.3540118102313894,0.8363063753211342,1.3937922980663364,0.4844168525420975,1.2584799708612358,0.833459116696563,0.9696764744032895,0.5272818682765914,1.8699530929646224,0.35065921925160487,0.23223263771050878,0.2701878482882893,0.14692029474959709,OTT,0.9666666666666667,0.18333333333333332,0.8333333333333334
656,Plantation Course at Kapalua,ok,385,0.19201129556268903,0.807988704437311,1.9026053143080137,1.235521639782194,1.0535641340250412,0.27661895178852103,1.4122072450392726,0.9624315303637684,0.7503355009438255,0.47076606489529116,1.9248968298102047,0.39274450071982175,0.26765879597170633,0.20867343849545605,0.13092326481301592,OTT,1.0,0.016666666666666666,1.0
729,GC of Houston,ok,345,0.08716762604313688,0.9128323739568631,1.0796132641105518,0.7866954983640753,0.10475098156477815,0.7665837758575816,1.1470996641756273,0.817655440262469,0.4538554285228304,0.6251798193303102,1.606621490905736,0.3768655299508848,0.2686306695357558,0.14910863627029608,0.20539516424306334,OTT,0.31666666666666665,0.7333333333333333,0.2833333333333333
21,Colonial Country Club,ok,1129,0.09454480310871372,0.9054551968912863,0.6307034594148394,1.0903238800228052,0.5795459808361547,0.897807699808858,0.8569345490110454,0.9827792600884748,0.5898562930963249,0.7594527649282219,1.6201514879823036,0.26871383013438477,0.3081756704287189,0.1849645856030724,0.2381459138338238,APP,0.36666666666666664,0.65,0.36666666666666664
23,Muirfield Village Golf Club,ok,969,0.104394638761525,0.895605361238475,1.2740122027626932,0.8222712653593787,0.8133299922240826,0.8334648511324056,1.229779742136802,0.8262218136224753,0.7188480155364207,0.7116941386148334,1.7939486380203395,0.352721733744838,0.23697446020078067,0.20617782977826693,0.20412597627611453,OTT,0.8166666666666667,0.5833333333333334,0.43333333333333335
513,TPC Southwind,ok,792,0.05634567647826538,0.9436543235217346,0.8422052422840555,0.5669397862717437,0.669387241212109,0.2661665565334044,1.010043399027591,0.6996368359875262,0.6367337136047629,0.41593178595276115,1.4450288726515508,0.3656469884946728,0.25327634670457577,0.23050471403184844,0.1505719507689031,OTT,0.06666666666666667,0.95,0.06666666666666667
669,TPC Deere Run,ok,1118,0.11904470240938936,0.8809552975906106,1.1839323666425419,1.0804939086745755,0.6825542969039008,0.5638849568674651,1.180708511610696,0.9764325975302901,0.6499588534709873,0.5640160960584804,1.7572859399449092,0.3502426172999691,0.289646686894366,0.1928022773939521,0.1673084184117128,OTT,0.7833333333333333,0.4,0.6166666666666667
32,Glen Abbey GC,ok,260,0.18705323965340892,0.8129467603465911,1.2587098539568862,1.5430682890948886,0.9845035572299793,0.07749598599157098,1.1964406616903238,1.0056634786128227,0.6976380206590442,0.4448192894529697,1.7684434673746676,0.3577272175823858,0.3006862016208402,0.20858878839629227,0.13299779240048176,OTT,0.8,0.03333333333333333,0.9833333333333333
241,Quail Hollow-PGA Championship,ok,236,0.1433742328529719,0.8566257671470281,1.2142360137122206,1.151945808113239,0.5530867705028268,1.135710988580454,1.184867025674746,0.9041165471811248,0.5927160761172388,0.694389270045682,1.7478058830031524,0.3509584771301312,0.26779998064858207,0.17556293401463566,0.205678608206651,OTT,0.7166666666666667,0.26666666666666666,0.75
503,TPC River Highlands,ok,1219,0.15821404818568008,0.8417859518143199,1.4821975321670697,1.0911225198413654,0.659017587268277,0.6177211603854162,1.3609516250988662,0.9880554154787247,0.6373788092614274,0.5965139103378712,1.894867652802742,0.3798464138532515,0.27576976237536266,0.17789468082410426,0.16648914294728162,OTT,0.9833333333333333,0.13333333333333333,0.8833333333333333
770,TPC San Antonio (Oaks Course),ok,1162,0.07091128722160245,0.9290887127783976,0.8547717933876093,0.6946828831730166,0.797968732992221,0.3887306177756483,0.9858345378589985,0.7502686250825517,0.7190443653189363,0.46027750678778934,1.5045440931958833,0.3381443618023518,0.2573445093127315,0.2466344895426302,0.15787663934228638,OTT,0.13333333333333333,0.9,0.11666666666666667
538,TPC Summerlin,ok,994,0.10136272953294678,0.8986372704670532,1.0995543893148778,0.8570767660955538,0.6309322729248927,1.058934403418078,1.1337344494659651,0.8454514145283731,0.6191037103155717,0.8383167711593696,1.7567601740611893,0.3298994227141107,0.2460134590751109,0.18014973147325405,0.24393738673752427,OTT,0.75,0.6,0.4166666666666667
746,The Country Club of Jackson,ok,1082,0.07638658899016004,0.92361341100984,1.0482044808100597,0.9043998118182277,0.13865346338383572,0.8327643224838492,1.102614127311072,0.8732019811648477,0.33663571965999073,0.7186028094526378,1.6149158551331384,0.3637724353884599,0.2880851998958195,0.11106224067534855,0.237080124040372,OTT,0.3333333333333333,0.8166666666666667,0.2
688,East Lake Golf Club,ok,247,0.08096457951318847,0.9190354204868115,1.2082196801633334,0.7905582848812678,0.23982406806834458,1.5104334033912887,1.1837562563164243,0.8214645926748749,0.518397251033117,0.7874274509073427,1.721877072182536,0.35751735761632886,0.24809824571688757,0.15656602818020282,0.23781836848658072,OTT,0.6166666666666667,0.7666666666666667,0.25
733,El Camaleon Golf Club,ok,657,0.08880880701695548,0.9111911929830445,1.1610241666914338,0.9156496741536264,0.742310358284046,0.70042888102683,1.1693585565403053,0.8691745834480806,0.6665911341190189,0.6256288711715626,1.7200636949821522,0.35107932216404636,0.26095436843767744,0.2001322538909405,0.18783405550733573,OTT,0.6,0.7166666666666667,0.3
552,Silverado Resort and Spa North,ok,765,0.08218956604249195,0.917810433957508,1.2405656803114253,0.5402314049208923,0.5741034401445366,0.47025822624815505,1.2076647187228073,0.6888706434053696,0.5895939352903277,0.5182792546595387,1.596631213065543,0.4019642128523127,0.22928660715231358,0.19624292937208102,0.17250625062329264,OTT,0.26666666666666666,0.75,0.26666666666666666
237,TPC Potomac at Avenel Farm,ok,377,0.10464973621879392,0.8953502637812061,1.4571217148702833,1.0820123328388245,-0.029392257943513384,0.739473452048774,1.266183029625361,0.9114054219585028,0.40139719267127255,0.6203406812954353,1.726215969929915,0.3957655146064113,0.2848741670019107,0.1254630355977195,0.1938972827939585,OTT,0.6333333333333333,0.5666666666666667,0.45
