tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,tz_offset,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave,partner_dg_id,partner_player_name
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,11374,32448,"Hahn, James",0,0,USA,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12069,"Stanley, Kyle"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,19865,47988,"Hardy, Nick",0,0,USA,371.0,493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19872,"Riley, Davis"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,24342,54421,"Higgo, Garrick",0,0,RSA,216.0,85.0,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6169,"Kuchar, Matt"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,14140,33597,"Higgs, Harry",0,0,USA,379.0,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22087,"Paul, Jeremy"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,20954,49120,"Hirata, Kensei",0,0,JPN,333.0,204.0,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21074,"Nakajima, Keita"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,25157,54628,"Hodges, Lee",0,0,USA,130.0,133.0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11451,"Garnett, Brice"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,23504,51696,"Hoey, Rico",0,0,PHI,105.0,80.0,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15980,"Lipsky, David"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,5768,12716,"Hoffman, Charley",0,0,USA,393.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7955,"Watney, Nick"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,15575,35532,"Hoge, Tom",0,0,USA,228.0,111.0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11276,"Horschel, Billy"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,11276,29420,"Horschel, Billy",0,0,USA,129.0,97.0,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15575,"Hoge, Tom"
