dg_id,player_name,n_rounds,skill_dist,skill_acc,skill_app,skill_arg,skill_putt
44,"Couples, Fred",20,275.5973643681581,0.6727293431110335,-0.7807079227342895,-0.02384829038231631,-0.29249811742333376
493,"Duke, Ken",83,272.40994428695217,0.742021562786048,-0.23155939759810434,0.005197071437270332,-0.5058649572105833
653,"Singh, Vijay",105,284.60423870733604,0.5945813667674841,-0.15642295971520548,0.0752076637938122,-0.9605787852583638
863,"Daly, John",41,286.2716789727399,0.5709293889276446,-1.383320204161496,-0.4519526671364537,-0.9058181708831152
874,"Els, Ernie",105,278.575531480535,0.5444315511057518,-0.3676550844340615,0.165273275325795,-0.008000483892667772
889,"Estes, Bob",44,270.5408437173309,0.6304339231327716,-0.4388050829218784,0.12691007359714343,-0.26956698953443536
1435,"Poulter, Ian",150,283.98955925183157,0.6233487599280237,-0.1540309923623658,0.2895901194354228,0.6062466604105605
1547,"Mickelson, Phil",150,291.301196288526,0.5867421045545974,-0.071583889777294,-0.08850238967501856,-0.08477588070564004
1804,"Choi, K.J.",150,268.51627685055223,0.6632871874032016,-0.14238866770856876,0.03151388294311794,-0.2048380506248913
1805,"Johnson, Richard S.",29,275.28296821036315,0.6037876014155733,-1.2403231028891628,-0.21947596866026442,0.009775195515533507
2035,"Chopra, Daniel",36,284.38835225915466,0.5319812168785512,-1.3867249909416803,0.15419967750351185,0.06979114385906589
2881,"Furyk, Jim",150,268.8182971730798,0.6820872115764589,0.43725714706242974,0.07329720708748874,0.03454790067861605
3464,"Love III, Davis",113,276.5652694177757,0.6250353794009847,-0.4719762071662788,-0.20376990201423023,-0.43798339799241104
3846,"Jacobson, Freddie",61,281.14371777923145,0.5790796403441483,-0.3801762430428977,-0.11766373584092185,-0.02076096372825754
4052,"Westwood, Lee",120,290.5366037355767,0.6402962431487106,0.0031420544047788684,-0.2152830347215488,-0.07553535397638614
4107,"Wilson, Mark",47,273.2137110584043,0.7037803594917409,-0.8930708910724159,0.058270269889966524,-0.2624764621079957
4163,"Donald, Luke",150,276.7241373811851,0.5601858350199085,0.19374487601983983,0.14265109577568724,0.22613424527896897
4377,"Micheel, Shaun",27,271.5950033410787,0.6275726659219044,-1.3833987163509873,-0.3458534647631001,-0.6049585267542958
4425,"Cejka, Alex",150,274.4838571238655,0.6852451298626904,-0.14705666786929644,0.1626290197847301,-0.25670129999281843
4818,"Stricker, Steve",141,278.10022425347825,0.6829395359108856,-0.001052611676785463,0.41275948535537366,0.05179296489827325
4871,"Alker, Steven",40,273.5620553651672,0.6553347386605916,-0.2866265260444384,0.3437201347414567,-0.3537059134029713
4884,"Goosen, Retief",80,285.46501695779807,0.5383809838354923,0.2576952141923382,-0.04455096300723402,-0.3748109376435952
4949,"Allenby, Robert",32,278.5333854363328,0.6388774289794874,-0.447037556137532,-0.4578215961296347,-0.58518558870577
5151,"Kelly, Jerry",38,269.2764738846357,0.742340605090397,-0.07102438837054226,0.20007362715086274,-0.46560238232905604
5183,"Uresti, Omar",49,272.7983628519966,0.6707432860497126,-1.0305043021899105,0.2284110292557423,-1.4858873155149843
5207,"Senden, John",111,273.90558499068226,0.6180184224914127,-0.5806162881630867,-0.40812003820175635,-0.1191194226759424
5294,"Appleby, Stuart",54,272.79961036561366,0.6510047581498865,-0.20741261813195447,0.13128053442529178,0.09357212321312072
5321,"Woods, Tiger",143,288.8932233162991,0.6299089083126398,0.2673198412471275,-0.07514715884833559,-0.15543506827487116
5467,"Pride, Dicky",34,273.37396760764557,0.6616355694025132,-0.5978919442137001,0.18708173123158686,0.2519418869211082
5513,"Weir, Mike",54,275.5525609708557,0.6276092521116214,-0.18492932289524652,0.3643075214962833,-0.19361442658915687
