course_num,course_name,status,n_player_events,r2,randomness,beta_dist,beta_acc,beta_app,beta_arg,beta_putt,beta_dist_shrunk,beta_acc_shrunk,beta_app_shrunk,beta_arg_shrunk,beta_putt_shrunk,predictability,imp_dist,imp_acc,imp_app,imp_arg,imp_putt,primary_skill,predictability_pct,randomness_pct,r2_pct,beta_dist_shrunk_z,beta_dist_shrunk_pct,beta_acc_shrunk_z,beta_acc_shrunk_pct,beta_app_shrunk_z,beta_app_shrunk_pct,beta_arg_shrunk_z,beta_arg_shrunk_pct,beta_putt_shrunk_z,beta_putt_shrunk_pct,predictability_z,randomness_z,r2_z
500,The Riviera Country Club,ok,841,0.08976341387474396,0.910236586125256,1.0135572381633862,0.25868848609987066,0.8209090134069231,0.535117865448769,0.7226523405219496,1.1288410071364887,0.4448028796057755,0.8910981973749068,0.5612233182625974,0.6249663518031858,1.7238741753130316,0.30919257963207614,0.12183270177432236,0.24407418636460557,0.15372057218533083,0.17117996004366495,DIST,0.16666666666666666,0.65,0.36666666666666664,-0.4709351127125643,0.26666666666666666,-1.4065493518193906,0.06666666666666667,-0.7176198862358569,0.21666666666666667,-0.19669776309864764,0.4166666666666667,0.8619895905038754,0.8166666666666667,-0.8389436350489267,0.4649345040031701,-0.46493450400316577
9,Bay Hill Club & Lodge,ok,864,0.10248748357775828,0.8975125164222417,1.316574861410282,0.4981162480349803,1.2404536577710061,0.33563029065545147,0.5581249150961829,1.2845836151887342,0.5665486459887676,1.1079685227951617,0.45728239876972226,0.5408888771473379,1.9236409877714333,0.3246134194838581,0.14316646351692977,0.2799829038860768,0.11555495600230863,0.13668225711082665,DIST,0.6,0.5166666666666667,0.5,0.34174315833757185,0.5666666666666667,-0.5233765350036337,0.35,1.414649202324929,0.9,-1.1065410339836832,0.15,0.09800127656495083,0.5833333333333334,0.2907112656617583,0.10414661679338821,-0.10414661679338388
734,PGA National (Champion),ok,864,0.07500349401882267,0.9249965059811773,1.374995460720762,0.6309407998514384,0.7083489530625902,0.5646504841241182,0.5729500831354186,1.3149173879076372,0.6355152402011595,0.8316833876580995,0.5761967299938378,0.5485865605523257,1.859444675415339,0.3365629070047686,0.1626648629449565,0.21287556255012854,0.1474818480892958,0.1404148194108506,DIST,0.38333333333333336,0.8333333333333334,0.18333333333333332,0.5000273830332073,0.6666666666666666,-0.02307641709122633,0.55,-1.3017863088036774,0.1,-0.06562851748942519,0.45,0.16794795598038934,0.6166666666666667,-0.07231038927763168,0.8834484248238031,-0.8834484248237988
11,TPC Sawgrass,ok,1094,0.09672006115935006,0.9032799388406499,1.3862820855626212,1.190932422051582,0.9443345321515995,0.7117047055820136,0.7014170373619119,1.3287323426721636,0.9584184679765139,0.9530145933425815,0.6597351047165949,0.6257494212270327,2.102176291348281,0.29360033658000606,0.21177476888723984,0.2105807139520164,0.14577687512964285,0.13826730545109478,DIST,0.9666666666666667,0.5833333333333334,0.43333333333333335,0.5721150005007717,0.7,2.319340586027654,1.0,-0.10885786708396361,0.5,0.6656217780920295,0.7666666666666667,0.8691051216407312,0.8333333333333334,1.300304792001141,0.2676804701556414,-0.26768047015563706
12,Harbour Town Golf Links,ok,1033,0.10713739067056283,0.8928626093294372,1.2704697815683716,1.093672398624356,0.7444768132052083,0.7481331256390436,0.638319136687557,1.2615503217543362,0.8958691196956061,0.8406722365837315,0.6785351114084233,0.5876720311665655,1.9765092504045663,0.2958400372078684,0.21008591503156776,0.19714196212537902,0.1591199725800578,0.13781211305512694,DIST,0.7,0.5,0.5166666666666667,0.22155345996949505,0.4666666666666667,1.8655927001467003,0.9333333333333333,-1.2134079441347143,0.13333333333333333,0.83018699133633,0.8,0.5231066107367442,0.7,0.5896742978121288,-0.02770036258438934,0.027700362584393668
752,Sedgefield Country Club,ok,1261,0.0742498743990635,0.9257501256009365,0.3881619741258416,0.7589397539774213,1.0085920145969838,0.4276499852702065,0.3989708551480356,0.7227067951422883,0.7129488298828796,0.9916264881241126,0.4901503987638225,0.4468323208499472,1.566470802182425,0.21481863975278476,0.21191816498504937,0.29475280259363407,0.14569316719375655,0.13281722547477529,APP,0.06666666666666667,0.85,0.16666666666666666,-2.590178223801569,0.03333333333333333,0.5386453047157174,0.75,0.2707742911372126,0.6,-0.8188321242685698,0.21666666666666667,-0.756664139525149,0.2,-1.7290388898971696,0.9048171249896265,-0.9048171249896222
14,Augusta National Golf Club,ok,689,0.14524686743313453,0.8547531325668655,1.4213820689967407,0.5600683143654451,0.9718970657772373,1.3136913214980317,0.48520297206741864,1.3293208199827564,0.603258278858884,0.9681294425369483,0.9241549099655149,0.5051202234281529,2.0438927928557775,0.30700365632502635,0.13932114395110587,0.22358731931890458,0.2134314998344936,0.11665638057046962,DIST,0.9,0.13333333333333333,0.8833333333333333,0.5751857255214058,0.7166666666666667,-0.25707610559747307,0.45,0.039751333612131894,0.55,2.980211466813732,1.0,-0.22701839795122142,0.4166666666666667,0.9707193173551426,-1.108285263858649,1.1082852638586531
656,Plantation Course at Kapalua,ok,385,0.15418973542387027,0.8458102645761297,1.6925638725756669,0.9801253854356884,1.5024393004084022,1.040276254946043,0.16301446546039572,1.393808899879495,0.7508124742749591,1.1395331580373287,0.7353921507010415,0.40555251825512284,2.1237308915096746,0.31497800083621114,0.16967133168001872,0.25751584455817716,0.1661865909153558,0.09164823201023732,DIST,0.9833333333333333,0.06666666666666667,0.95,0.9116900510187917,0.8333333333333334,0.8133172088496639,0.8,1.7249927031618728,0.95,1.3278831330986773,0.95,-1.1317620704899194,0.13333333333333333,1.4221932048237056,-1.3618581004809744,1.3618581004809789
729,GC of Houston,ok,345,0.08515055256305248,0.9148494474369475,1.4030308749396854,0.7995161690351038,0.8587544786384629,0.11702365979657292,0.8033834827183091,1.2961328447770843,0.6883821720001724,0.93290651244303,0.4465558978657864,0.6069750798846156,1.8952508658528253,0.32640351213010654,0.1733544208327278,0.23493267945294924,0.11245561287421427,0.15285377471000208,DIST,0.4666666666666667,0.7333333333333333,0.2833333333333333,0.40200802773460226,0.65,0.36043291108089015,0.7333333333333333,-0.3065605230342775,0.4,-1.2004350914463675,0.11666666666666667,0.6985079736386245,0.7666666666666667,0.13016888145663585,0.595731059309893,-0.5957310593098887
21,Colonial Country Club,ok,1129,0.09645142439230259,0.9035485756076974,0.7353707872558483,0.5760330777247805,1.1167646049123587,0.5785020859991242,0.902857801095689,0.9488128948820231,0.6027505719929309,1.0537765166215929,0.5827175715497765,0.7450210587698813,1.8079312085139778,0.24123923980288936,0.15325159529625862,0.2679266346011655,0.1481581297416211,0.18942440055806536,APP,0.3,0.6,0.4166666666666667,-1.4103372251922743,0.11666666666666667,-0.2607591322541033,0.43333333333333335,0.8818333853749726,0.8333333333333334,-0.008548554765167181,0.48333333333333334,1.952892873830997,0.9833333333333333,-0.36361223076763427,0.27529760004192005,-0.2752976000419157
23,Muirfield Village Golf Club,ok,969,0.09608670585921508,0.9039132941407849,1.2255940691212786,0.9702427587136612,0.9109459938054604,0.8106911248702899,0.7985074281902766,1.2366461890300107,0.8211021717448412,0.935338795711979,0.710284364288196,0.6735855640737402,2.0091248409024525,0.28253559837513,0.1875965781312229,0.21369613125742973,0.16227811936902686,0.1538935728671907,DIST,0.7833333333333333,0.6166666666666667,0.4,0.09160156191460556,0.43333333333333335,1.3232154332553994,0.9,-0.2826463133840943,0.43333333333333335,1.1081029865885044,0.9166666666666666,1.3037786684901267,0.9166666666666666,0.7741111479179603,0.28563910492598393,-0.2856391049259796
513,TPC Southwind,ok,792,0.042788774449315725,0.9572112255506843,0.3315726955045317,0.42042810174115713,0.6739600451047311,0.6394857864131813,0.17735834423985686,0.793110571768316,0.5309947017601023,0.8201532772235844,0.6139485447649167,0.3506827723417304,1.4434480845963225,0.25511053960705177,0.17079881383055953,0.26380904827242785,0.19748159981871405,0.1127999984712468,APP,0.05,0.9666666666666667,0.05,-2.2228052859819676,0.05,-0.781293323457374,0.23333333333333334,-1.4151503572024924,0.05,0.2648306972332126,0.5833333333333334,-1.6303479858997159,0.06666666666666667,-2.424716085271282,1.7968889263156036,-1.7968889263155994
669,TPC Deere Run,ok,1118,0.08434599847323188,0.9156540015267681,0.648750440867135,0.4258243953057251,1.3085683474255165,0.5707057322366536,0.4757789979263006,0.8995461148618493,0.5153473318951445,1.165217452574936,0.5781972622873235,0.49517209833768105,1.7355129726188776,0.24621622421807005,0.14105655299235673,0.3189335564081222,0.1582593092467233,0.13553435713472772,APP,0.2,0.7666666666666667,0.25,-1.6674155039480216,0.06666666666666667,-0.8948030752126792,0.18333333333333332,1.97752069286219,0.9666666666666667,-0.04811692672905127,0.4666666666666667,-0.317414206648295,0.35,-0.7731277757821872,0.6185439939280994,-0.6185439939280951
32,Glen Abbey GC,ok,260,0.20676803704730962,0.7932319629526904,1.9321237829684597,0.260098369152641,1.6431514793970303,0.9716949532596706,0.0017346034187917699,1.4173383386673297,0.5471604571724276,1.131251930434177,0.6826170078056812,0.3945944922820322,2.0517393243161655,0.33964801543461104,0.13112039541500708,0.2710908628138964,0.16358092184334155,0.09455980449314397,DIST,0.95,0.016666666666666666,1.0,1.0344686783451227,0.8833333333333333,-0.6640230793443733,0.2833333333333333,1.6435716714955118,0.9333333333333333,0.8659177313337726,0.8333333333333334,-1.2313345638545043,0.1,1.0150904148799307,-2.8527029951223053,2.8527029951223093
241,Quail Hollow-PGA Championship,ok,236,0.15864940176802522,0.8413505982319748,1.5418842003542936,1.1896536679606164,1.177941557898285,0.591166716744462,1.1062653440167034,1.3165165315629181,0.7655625234187181,1.013418792742273,0.5892361829905413,0.6553067433571528,2.0305037827739985,0.30334197305889127,0.1763952375729656,0.2335044405104829,0.13576743023032709,0.15099091862733297,DIST,0.8166666666666667,0.05,0.9666666666666667,0.5083718516226797,0.6833333333333333,0.9203175821479367,0.85,0.48503623506965005,0.7333333333333333,0.04851188672246584,0.5166666666666667,1.1376841767464196,0.8833333333333333,0.8950062363462737,-1.4883108499175066,1.4883108499175108
503,TPC River Highlands,ok,1219,0.13918054886618692,0.8608194511338131,1.005395614696842,1.145567934797274,1.1584490995854844,0.585835615355224,0.53796093752972,1.1023297225017434,0.9454243789702642,1.0817519138245195,0.5869573826372094,0.5317451945412565,1.9764658351398674,0.25948107267009923,0.22254660014692523,0.2546371936021848,0.13816585741032314,0.12516927617046775,DIST,0.6833333333333333,0.18333333333333332,0.8333333333333334,-0.6092732671182957,0.21666666666666667,2.225078366235119,0.9666666666666667,1.1568874969986698,0.8666666666666667,0.02856448605211164,0.5,0.014915209981634902,0.5333333333333333,0.5894287902329209,-0.936276283242014,0.9362762832420183
770,TPC San Antonio (Oaks Course),ok,1162,0.06693140553761434,0.9330685944623857,0.8952429539905694,0.5282250068413641,0.7445125777583441,0.7873570078993798,0.32579788821484934,1.039907628925898,0.5739867311787725,0.8343686426973473,0.7063415818580974,0.4059104541466479,1.664548408197108,0.2920666301340501,0.1612089051507371,0.23433931147696252,0.19838185604035924,0.11400329719789101,DIST,0.1,0.9166666666666666,0.1,-0.9349970990033397,0.2,-0.46941889159526395,0.38333333333333336,-1.2753848806507246,0.11666666666666667,1.0735899759273386,0.9,-1.1285096079322154,0.15,-1.1744230008964403,1.1123305212348003,-1.1123305212347958
538,TPC Summerlin,ok,994,0.09392407753722498,0.906075922462775,1.1261098319373062,0.6823207103558186,0.9795565458359237,0.6462431129311029,1.0451501406817496,1.1813710303017015,0.6636517807785787,0.9730138618605951,0.6205680014938819,0.8119835032150098,1.95633561198251,0.2779311899735496,0.1561317523697449,0.22891275776299583,0.14599579530120604,0.19102850459250353,DIST,0.65,0.6333333333333333,0.38333333333333336,-0.1968289516689021,0.35,0.18103275676733696,0.65,0.0877749455064697,0.5666666666666667,0.3227738844894744,0.6166666666666667,2.5613617323245284,1.0,0.4755950409616607,0.3469599025420174,-0.3469599025420131
746,The Country Club of Jackson,ok,1082,0.07365760729481763,0.9263423927051824,1.165629966761983,0.38528706939820245,1.1090246214008848,0.11230215444650099,0.8024489005886806,1.2015080124612303,0.4937540476684068,1.0477536142256945,0.31479504332498504,0.6833522185797134,1.8306469822607176,0.3211589639189453,0.13197876063692737,0.2800609414978098,0.08414363359423199,0.18265770035208564,DIST,0.3333333333333333,0.8666666666666667,0.15,-0.09175245365569633,0.38333333333333336,-1.0514459074146483,0.13333333333333333,0.8226162076568749,0.8166666666666667,-2.3537992088210236,0.016666666666666666,1.392525505135553,0.95,-0.23515753491176852,0.9216107140057337,-0.9216107140057294
688,East Lake Golf Club,ok,247,0.08138245905339359,0.9186175409466064,1.325516246730778,1.074595040004496,0.798738430726464,0.40476152459272347,1.4210645081722602,1.2678404664355991,0.7428743873010477,0.9256886857750106,0.5452812196761322,0.7343095496166347,1.962835568712032,0.3007215791985105,0.1762038401592892,0.2195659239486778,0.1293363272662395,0.17417232942728308,DIST,0.6666666666666666,0.8,0.21666666666666667,0.25437597378349963,0.5,0.7557324332869285,0.7833333333333333,-0.3775261964660105,0.36666666666666664,-0.3362463758437512,0.35,1.8555604093245714,0.9666666666666667,0.5123514364987873,0.702574430015153,-0.7025744300151486
733,El Camaleon Golf Club,ok,657,0.10155969473613946,0.8984403052638605,1.0209047875712218,1.3226403549044656,0.8135619083303205,0.7108636547982834,0.638555217852796,1.1467130410774624,0.9480708454326152,0.8966491663624022,0.6437685392100068,0.5747082656550139,1.939715540166549,0.27238422670022006,0.22519979701943776,0.2129853599393412,0.15291741651589244,0.1365131998251086,DIST,0.6166666666666667,0.5333333333333333,0.48333333333333334,-0.3776773085384647,0.3,2.244276464941979,0.9833333333333333,-0.6630427578958697,0.23333333333333334,0.5258589950014861,0.7166666666666667,0.40530852752824664,0.65,0.381610733227995,0.1304538426855228,-0.13045384268551846
552,Silverado Resort and Spa North,ok,765,0.07010991718298587,0.9298900828170141,1.3230981579485814,0.6976082869264616,0.6844405315610094,0.5198457814629055,0.43267324850745764,1.2857485918506293,0.6683928741992522,0.8277985100710363,0.5550257912112655,0.4784755271810053,1.8226742188396898,0.3369855522871248,0.17518101383460868,0.21696009613919506,0.1454683084783463,0.12540502926072508,DIST,0.31666666666666665,0.9,0.11666666666666667,0.34782210636112787,0.5833333333333334,0.2154257788454159,0.7,-1.3399824261179536,0.08333333333333333,-0.2509476034049848,0.38333333333333336,-0.46913124261736683,0.2833333333333333,-0.28024245747690385,1.022204600222782,-1.0222046002227778
237,TPC Potomac at Avenel Farm,ok,377,0.12151423453419585,0.8784857654658041,1.5121885514128022,1.4888179536251884,1.0659070397225476,-0.03526152138778549,0.586165885654049,1.3340030070502944,0.9121910595919988,0.9972426640547154,0.3888188163664508,0.5427389157363167,2.012931962497736,0.31952210210973647,0.21848916632581064,0.23886083513173298,0.09313037893365411,0.1299975174990658,DIST,0.8,0.3333333333333333,0.6833333333333333,0.5996177787556987,0.7333333333333333,1.9839959437457186,0.95,0.32599253415657337,0.6166666666666667,-1.705834652456719,0.06666666666666667,0.11481205576712515,0.6,0.795639916960162,-0.4353522572511,0.4353522572511043
240,Club de Golf Chapultepec,ok,247,0.13660218650763323,0.8633978134923668,2.0709620662131156,0.6330363168211737,0.7212547841164945,1.0150101648565322,1.022920327256609,1.4437001774309548,0.6387053284411809,0.9074093536712261,0.6892462761662571,0.6403825078915479,2.049574741170929,0.3342329004731096,0.14786749895148193,0.210075516326151,0.15956829930801575,0.14825578494124167,DIST,0.9333333333333333,0.21666666666666667,0.8,1.172027011392547,0.9333333333333333,6.524360494498771e-05,0.5666666666666667,-0.5572485938429098,0.25,0.9239468043705421,0.8666666666666667,1.00207185564774,0.85,1.0028499835093723,-0.8631674486068625,0.8631674486068668
