dg_id,target_season,player_name_latest,total_rounds_hist,raw_sg,wgh_sg,dec_raw_sg,dec_wgh_sg,avg_round_score
10091,2024,"McIlroy, Rory",159,2.289930817610063,2.55151331795597,2.247855712213024,2.4917248730115826,68.94339622641509
18417,2024,"Scheffler, Scottie",162,2.1585987654320986,2.3720601324711685,2.1821770300139787,2.4059013328965686,68.54320987654322
19195,2024,"Rahm, Jon",166,1.9926746987951807,2.189530374349876,1.9841798221503304,2.1588780585874945,68.89759036144578
19895,2024,"Schauffele, Xander",153,1.7281045751633985,1.9184186501122822,1.727308133381509,1.9299120475397888,69.03355704697987
15466,2024,"Cantlay, Patrick",144,1.7380763888888888,1.9041756362428817,1.7325605528447041,1.9087834091697977,68.92142857142858
18841,2024,"Hovland, Viktor",181,1.5412209944751383,1.7825939541027218,1.5950554861224238,1.8399951427072818,69.39226519337016
14796,2024,"Hatton, Tyrrell",175,1.4450914285714285,1.5952495735126289,1.4594504318733117,1.5911004277764942,69.75428571428571
12294,2024,"Fleetwood, Tommy",180,1.3909444444444445,1.52106938081845,1.4164885635697286,1.5375220779283432,69.81111111111112
15856,2024,"Smith, Cameron",132,1.583689393939394,1.6140452968874577,1.5108854981768558,1.5253480708786529,69.07575757575758
18079,2024,"Niemann, Joaquin",132,1.2942651515151515,1.4672408416304472,1.2842091201830408,1.4712308034979298,69.35606060606061
23950,2024,"Aberg, Ludvig",68,1.5161911764705882,1.3489652611197094,1.6483146965779736,1.4690371344696187,68.52941176470588
17538,2024,"Homa, Max",168,1.3536011904761904,1.4488602296853332,1.368513344975412,1.4601655493554915,69.57831325301204
22085,2024,"Morikawa, Collin",151,1.2453576158940398,1.4039838365286765,1.2983070724005303,1.4600659766695725,69.6510067114094
17646,2024,"Fitzpatrick, Matthew",179,1.4232402234636872,1.514820434621658,1.371504988330235,1.4553025236794617,69.58285714285714
18586,2024,"Smith, Jordan",187,1.4284491978609626,1.545899748868799,1.3673555388030714,1.4153823543166368,69.97860962566845
16841,2024,"Woo Lee, Min",146,1.1625479452054794,1.200980336376864,1.2805459110711426,1.3411181500856253,70.21917808219177
17488,2024,"Im, Sungjae",184,1.214766304347826,1.3418030373498604,1.1993561676588143,1.3269149161804152,69.50555555555556
11889,2024,"Fox, Ryan",167,1.2137664670658683,1.430723949432136,1.1442633571764989,1.3118316469269997,70.26946107784431
14196,2024,"Meronk, Adrian",187,1.3308823529411764,1.3413039723376614,1.3122699895287364,1.2793626096575217,70.06951871657753
26991,2024,"Schaper, Jayden Trey",101,1.366049504950495,1.1898114524943313,1.3928462005518576,1.2670058654118146,70.16831683168317
14424,2024,"Burmester, Dean",149,1.0363489932885905,1.1449787305331682,1.1066888676898854,1.2312171001372483,69.81879194630872
14139,2024,"Thomas, Justin",152,1.1878355263157894,1.2711576072452857,1.1271871963571056,1.2053712739946356,69.66447368421052
14775,2024,"Bjork, Alexander",164,1.2787743902439024,1.2117023473040707,1.3176909671075077,1.2027937122004173,70.04268292682927
11676,2024,"Finau, Tony",168,1.2565000000000002,1.240043399290104,1.2059789301929058,1.191263200063809,69.35714285714286
24766,2024,"Kim, Joohyung",150,1.1590266666666666,1.1729181125156278,1.172195716303751,1.186641133854722,69.29452054794521
14578,2024,"Henley, Russell",142,1.0903661971830985,1.1497629260434592,1.1147623110579674,1.1782973996216781,69.58450704225352
23838,2024,"Hojgaard, Rasmus",175,1.1465657142857142,1.1973786344808404,1.1502592112702723,1.1641063528307312,70.22285714285714
21756,2024,"Cole, Eric",128,1.1586484375,1.106212250761422,1.2144988433173656,1.1600379216973769,69.12698412698413
18580,2024,"Gooch, Talor",125,1.066104,1.1122165310927248,1.103828021473895,1.1517086247731845,69.704
22760,2024,"Hisatsune, Ryo",112,1.3800535714285715,1.0854809391759923,1.4170434422818785,1.1495773396423123,69.73214285714286
7672,2024,"Oosthuizen, Louis",115,0.9628608695652174,1.0663039124904048,1.0123358282516417,1.1422159375119432,69.84347826086956
12422,2024,"Johnson, Dustin",110,1.1669181818181817,1.1850000665556042,1.0975347440488088,1.110563729378431,69.67272727272727
6430,2024,"Scott, Adam",157,1.0467834394904458,1.0464287200006592,1.108934589645893,1.1069126504971594,69.94267515923566
13900,2024,"Lowry, Shane",158,1.0937974683544303,1.1715089348015326,1.030845346329207,1.0894276584104108,70.15189873417721
16243,2024,"Koepka, Brooks",109,0.9517798165137614,0.9699081006803184,1.0369119061464802,1.0666293752694902,69.77981651376147
19428,2024,"Zalatoris, Will",86,1.231046511627907,1.2720599461411046,1.0059244922502846,0.9996028652847979,69.97674418604652
18105,2024,"Lawrence, Thriston",210,0.9339999999999999,1.016021144498705,0.9318929373153768,0.9951679091273538,70.39047619047619
19870,2024,"McCarthy, Denny",180,0.9630277777777778,0.9670178905320763,0.975686388404111,0.980035467110734,69.7215909090909
25362,2024,"Fitzpatrick, Alex",87,0.9552528735632184,0.9093294409439393,1.018193418552392,0.9638641316977872,70.33734939759036
13562,2024,"Matsuyama, Hideki",143,0.9483706293706293,1.0050656618024916,0.9106236829115635,0.9637843720949153,69.86013986013987
19898,2024,"Paul, Yannik",196,1.0029183673469388,0.9420241826236875,1.039878407955777,0.9437187351560611,70.15816326530613
14838,2024,"Reed, Patrick",138,0.8363115942028986,0.8778296646400525,0.8943393185795886,0.9388153094203713,70.05072463768116
10419,2024,"Noren, Alex",166,0.9738132530120481,0.9726003415969386,0.9526407570962068,0.936293998487366,69.8012048192771
18770,2024,"Rozner, Antoine",205,0.9226829268292683,0.9166186986073904,0.9432827813064034,0.9202278160126808,70.43414634146342
8825,2024,"Harman, Brian",172,0.9023488372093024,0.9334531574654112,0.886173093009482,0.9193460990725164,69.49418604651163
19455,2024,"Pereira, Mito",125,0.8962960000000001,0.9340271817209229,0.8836359440255053,0.9180996535748354,69.672
14636,2024,"Spieth, Jordan",150,0.8721866666666667,0.913485087342907,0.8684883667190835,0.9161820209739098,70.02
13872,2024,"Bradley, Keegan",150,0.9218400000000001,0.9586858718244345,0.8784888476782784,0.9125452009903123,70.01333333333334
