course_num,course_name,imp_dist,imp_acc,imp_app,imp_arg,imp_putt,n_obs,n_events,n_players,target_season
4,Torrey Pines Golf Course (South Course),0.1231988004494892,0.014438321166536962,0.2905517273742263,0.08825715309371791,0.1267297338660743,721,2,391,2024
5,Pebble Beach Golf Links,0.07235118471481013,0.05994074998574346,0.20670690954959053,0.1532738461799309,0.07341677753952328,521,1,368,2024
6,Waialae Country Club,0.06957220175997823,0.03538619948557068,0.2372709589016251,0.1031477529203762,0.10162175442961852,483,1,345,2024
9,Arnold Palmer's Bay Hill Club & Lodge,0.17190834424868615,0.04533326641348936,0.09970746356002141,0.0828026611314426,0.09836620692992386,397,1,303,2024
11,TPC Sawgrass (THE PLAYERS Stadium Course),0.1259654665345162,0.07686848611244702,0.13431089353612935,0.07001418511964998,0.09656305306450308,406,1,294,2024
12,Harbour Town Golf Links,0.11827917442200968,0.09213921944109837,0.11241615123256714,0.1019997062982578,0.09323803776269353,430,1,303,2024
14,Augusta National Golf Club,0.03831079923797552,0.026269090993322253,0.17610789144648553,0.1089843393349051,0.01741648658224837,232,1,118,2024
21,Colonial Country Club,0.05343711710663846,0.0806757100036634,0.17292517012400654,0.10639641284396097,0.1426144245499216,501,1,304,2024
23,Muirfield Village Golf Club,0.15183445636923232,0.08220977685015762,0.13579432966739488,0.1657557367386993,0.029623091678863567,520,1,286,2024
500,The Riviera Country Club,0.1634901246956661,0.04602865357134482,0.1559956429516221,0.10010607334333652,0.1482791193376444,636,1,301,2024
503,TPC River Highlands,0.11495945884136517,0.1033038106605418,0.14138379794557465,0.04274561160570263,0.07812680146629629,370,1,370,2024
510,TPC Scottsdale (Stadium Course),0.1279746932979081,0.03519064484829683,0.17566557214086556,0.13382853159845357,0.08583945436171651,506,1,290,2024
513,TPC Southwind,0.09290153541227338,0.07848031805795529,0.20715490873740972,0.07204280624582453,0.08103635660508507,454,3,323,2024
538,TPC Summerlin,0.11866722087773621,0.07204373037847586,0.12711398721735634,0.0752799412576889,0.15131425466509796,478,1,331,2024
656,Plantation Course at Kapalua,0.06176481022282594,0.00013894993371902438,0.12014167450136504,0.07526084185248208,0.02456086891151099,157,1,139,2024
665,Innisbrook Resort (Copperhead Course),0.09738182227092046,0.06432876958104321,0.1753952822984647,0.07802449128629171,0.1164855596218279,454,1,355,2024
669,TPC Deere Run,0.12673941283779808,0.07398444276410367,0.1336615722828382,0.05632549948057819,0.07948774813137059,355,1,355,2024
704,Pete Dye Stadium Course,0.10546429636655948,0.0649826654653027,0.2881668386129891,0.08276369107123575,0.11438842931007487,762,1,365,2024
746,The Country Club of Jackson,0.19446720838975834,0.05254833947239765,0.1430032166536064,0.04106800129555122,0.1544054621679609,565,1,339,2024
752,Sedgefield Country Club,0.05219558117281692,0.11488140221769141,0.17811140947208393,0.08887867082446627,0.1385825089625141,536,1,393,2024
770,TPC San Antonio (Oaks Course),0.1459083349743845,0.048909127940303755,0.13019107770270238,0.18779812595952627,0.04811539708938398,511,1,373,2024
776,Sea Island Golf Club (Seaside Course),0.056668436164445564,0.13025990583729355,0.19111535400776714,0.07539645803371058,0.1412913555819099,587,1,345,2024
872,Quail Hollow Club,0.12107720599131877,0.021020097738789347,0.16477911630217415,0.07489474890370611,0.05405393684680425,309,1,309,2024
874,Hamilton Golf & Country Club,0.05909797542465083,0.03760107549286079,0.07032131327419486,0.07249613661003355,0.015604542028799972,137,1,137,2024
876,Detroit Golf Club,0.12719288518680189,0.07667165449873184,0.1007190504522782,0.04688984594227815,0.10133094148488939,331,1,331,2024
883,TPC Twin Cities,0.08189291745562843,0.06038434628602483,0.16238707838019142,0.054940327228456536,0.09394724321800477,332,1,332,2024
884,Keene Trace Golf Club (Champion Trace),0.13568094923283136,0.08259353716654196,0.11399008112121775,0.05625128599767043,0.05592859092618295,320,1,248,2024
897,Memorial Park Golf Course,0.12673181163901526,0.041152513511117955,0.15619759837330757,0.08500072477195121,0.07875345925902547,381,1,231,2024
921,TPC Craig Ranch,0.08213413902854526,0.045535940326421984,0.0679241042734177,0.03926039723993282,0.03254468653094962,146,1,146,2024
977,The Renaissance Club,0.0687724027107401,0.014433622126093884,0.11587728890786221,0.013386829757423708,0.06025712922515279,150,1,150,2024
978,Vidanta Vallarta,0.1131253590554216,0.03349733920118935,0.11546548553377552,0.006273346525519407,0.06274214861386006,198,1,198,2024
